"IDDIRECCION","DETALLEDIRECCION","IDDISTRITO"
528,"El centro de SanRafael de Heredia",10502
529,"Casa #3 Hatillo 8",10503
530,"Oroci de Cartago",10601
531,"Heredia Centro",10602
532,"Ciudad quesada,San Carlos",10603
533,"El centro de SanRafael de Heredia",10604
534,"Casa #3 Hatillo 8",10605
535,"Oroci de Cartago",10606
536,"Heredia Centro",10607
537,"Ciudad quesada,San Carlos",10701
538,"El centro de SanRafael de Heredia",10702
539,"Casa #3 Hatillo 8",10703
540,"Oroci de Cartago",10704
541,"Heredia Centro",10705
542,"Ciudad quesada,San Carlos",10706
543,"El centro de SanRafael de Heredia",10707
544,"Casa #3 Hatillo 8",10801
545,"Oroci de Cartago",10802
546,"Heredia Centro",10803
547,"Ciudad quesada,San Carlos",10804
548,"El centro de SanRafael de Heredia",10805
549,"Casa #3 Hatillo 8",10806
550,"Oroci de Cartago",10807
551,"Heredia Centro",10901
552,"Ciudad quesada,San Carlos",10902
553,"El centro de SanRafael de Heredia",10903
554,"Casa #3 Hatillo 8",10904
555,"Oroci de Cartago",10905
556,"Heredia Centro",10906
557,"Ciudad quesada,San Carlos",11001
558,"El centro de SanRafael de Heredia",11002
559,"Casa #3 Hatillo 8",11003
560,"Oroci de Cartago",11004
561,"Heredia Centro",11005
562,"Ciudad quesada,San Carlos",11101
563,"El centro de SanRafael de Heredia",11102
564,"Casa #3 Hatillo 8",11103
565,"Oroci de Cartago",11104
566,"Heredia Centro",11105
567,"Ciudad quesada,San Carlos",11201
568,"El centro de SanRafael de Heredia",11202
569,"Casa #3 Hatillo 8",11203
570,"Oroci de Cartago",11204
571,"Heredia Centro",11205
572,"Ciudad quesada,San Carlos",11301
573,"El centro de SanRafael de Heredia",11302
574,"Casa #3 Hatillo 8",11303
575,"Oroci de Cartago",11304
576,"Heredia Centro",11305
577,"Ciudad quesada,San Carlos",11401
578,"El centro de SanRafael de Heredia",11402
579,"Casa #3 Hatillo 8",11403
580,"Oroci de Cartago",11501
581,"Heredia Centro",11502
582,"Ciudad quesada,San Carlos",11503
583,"El centro de SanRafael de Heredia",11504
584,"Casa #3 Hatillo 8",11601
585,"Oroci de Cartago",11602
586,"Heredia Centro",11603
587,"Ciudad quesada,San Carlos",11604
588,"El centro de SanRafael de Heredia",11605
589,"Casa #3 Hatillo 8",11701
590,"Oroci de Cartago",11702
591,"Heredia Centro",11703
592,"Ciudad quesada,San Carlos",11801
593,"El centro de SanRafael de Heredia",11802
594,"Casa #3 Hatillo 8",11803
595,"Oroci de Cartago",11804
596,"Heredia Centro",11901
597,"Ciudad quesada,San Carlos",11902
598,"El centro de SanRafael de Heredia",11903
599,"Casa #3 Hatillo 8",11904
600,"Oroci de Cartago",11905
601,"Heredia Centro",11906
602,"Ciudad quesada,San Carlos",11907
603,"El centro de SanRafael de Heredia",11908
604,"Casa #3 Hatillo 8",11909
605,"Oroci de Cartago",11910
606,"Heredia Centro",11911
607,"Ciudad quesada,San Carlos",11912
608,"El centro de SanRafael de Heredia",12001
609,"Casa #3 Hatillo 8",12002
610,"Oroci de Cartago",12003
611,"Heredia Centro",12004
612,"Ciudad quesada,San Carlos",12005
613,"El centro de SanRafael de Heredia",12006
614,"Casa #3 Hatillo 8",20101
615,"Oroci de Cartago",20102
616,"Heredia Centro",20103
617,"Ciudad quesada,San Carlos",20104
618,"El centro de SanRafael de Heredia",20105
619,"Casa #3 Hatillo 8",20106
620,"Oroci de Cartago",20107
621,"Heredia Centro",20108
622,"Ciudad quesada,San Carlos",20109
623,"El centro de SanRafael de Heredia",20110
624,"Casa #3 Hatillo 8",20111
625,"Oroci de Cartago",20112
626,"Heredia Centro",20113
627,"Ciudad quesada,San Carlos",20114
628,"El centro de SanRafael de Heredia",20201
629,"Casa #3 Hatillo 8",20202
630,"Oroci de Cartago",20203
631,"Heredia Centro",20204
632,"Ciudad quesada,San Carlos",20205
633,"El centro de SanRafael de Heredia",20206
634,"Casa #3 Hatillo 8",20207
635,"Oroci de Cartago",20208
636,"Heredia Centro",20209
637,"Ciudad quesada,San Carlos",20210
638,"El centro de SanRafael de Heredia",20211
639,"Casa #3 Hatillo 8",20212
640,"Oroci de Cartago",20213
641,"Heredia Centro",20214
642,"Ciudad quesada,San Carlos",20301
643,"El centro de SanRafael de Heredia",20302
644,"Casa #3 Hatillo 8",20303
645,"Oroci de Cartago",20304
646,"Heredia Centro",20305
647,"Ciudad quesada,San Carlos",20307
648,"El centro de SanRafael de Heredia",20308
649,"Casa #3 Hatillo 8",20401
650,"Oroci de Cartago",20402
651,"Heredia Centro",20403
652,"Ciudad quesada,San Carlos",20404
653,"El centro de SanRafael de Heredia",20501
654,"Casa #3 Hatillo 8",20502
655,"Oroci de Cartago",20503
656,"Heredia Centro",20504
657,"Ciudad quesada,San Carlos",20505
658,"El centro de SanRafael de Heredia",20506
659,"Casa #3 Hatillo 8",20507
660,"Oroci de Cartago",20508
661,"Heredia Centro",20601
662,"Ciudad quesada,San Carlos",20602
663,"El centro de SanRafael de Heredia",20603
664,"Casa #3 Hatillo 8",20604
665,"Oroci de Cartago",20605
666,"Heredia Centro",20606
667,"Ciudad quesada,San Carlos",20607
668,"El centro de SanRafael de Heredia",20608
669,"Casa #3 Hatillo 8",20701
670,"Oroci de Cartago",20702
671,"Heredia Centro",20703
672,"Ciudad quesada,San Carlos",20704
673,"El centro de SanRafael de Heredia",20705
674,"Casa #3 Hatillo 8",20706
675,"Oroci de Cartago",20707
676,"Heredia Centro",20801
677,"Ciudad quesada,San Carlos",20802
678,"El centro de SanRafael de Heredia",20803
679,"Casa #3 Hatillo 8",20804
680,"Oroci de Cartago",20805
681,"Heredia Centro",20901
682,"Ciudad quesada,San Carlos",20902
683,"El centro de SanRafael de Heredia",20903
684,"Casa #3 Hatillo 8",20904
685,"Oroci de Cartago",20905
686,"Heredia Centro",21001
687,"Ciudad quesada,San Carlos",21002
688,"El centro de SanRafael de Heredia",21003
689,"Casa #3 Hatillo 8",21004
690,"Oroci de Cartago",21005
691,"Heredia Centro",21006
692,"Ciudad quesada,San Carlos",21007
693,"El centro de SanRafael de Heredia",21008
694,"Casa #3 Hatillo 8",21009
695,"Oroci de Cartago",21010
696,"Heredia Centro",21011
697,"Ciudad quesada,San Carlos",21012
698,"El centro de SanRafael de Heredia",21013
699,"Casa #3 Hatillo 8",21101
700,"Oroci de Cartago",21102
701,"Heredia Centro",21103
702,"Ciudad quesada,San Carlos",21104
703,"El centro de SanRafael de Heredia",21105
704,"Casa #3 Hatillo 8",21106
705,"Oroci de Cartago",21107
706,"Heredia Centro",21201
707,"Ciudad quesada,San Carlos",21202
708,"El centro de SanRafael de Heredia",21203
709,"Casa #3 Hatillo 8",21204
710,"Oroci de Cartago",21205
711,"Heredia Centro",21301
712,"Ciudad quesada,San Carlos",21302
713,"El centro de SanRafael de Heredia",21303
714,"Casa #3 Hatillo 8",21304
715,"Oroci de Cartago",21305
716,"Heredia Centro",21306
717,"Ciudad quesada,San Carlos",21307
718,"El centro de SanRafael de Heredia",21308
719,"Casa #3 Hatillo 8",21401
720,"Oroci de Cartago",21402
721,"Heredia Centro",21403
722,"Ciudad quesada,San Carlos",21404
723,"El centro de SanRafael de Heredia",21501
724,"Casa #3 Hatillo 8",21502
725,"Oroci de Cartago",21503
726,"Heredia Centro",21504
727,"Ciudad quesada,San Carlos",21601
728,"El centro de SanRafael de Heredia",21602
729,"Casa #3 Hatillo 8",21603
730,"Oroci de Cartago",30101
731,"Heredia Centro",30102
732,"Ciudad quesada,San Carlos",30103
733,"El centro de SanRafael de Heredia",30104
734,"Casa #3 Hatillo 8",30105
735,"Oroci de Cartago",30106
736,"Heredia Centro",30107
737,"Ciudad quesada,San Carlos",30108
738,"El centro de SanRafael de Heredia",30109
739,"Casa #3 Hatillo 8",30110
740,"Oroci de Cartago",30111
741,"Heredia Centro",30201
742,"Ciudad quesada,San Carlos",30202
743,"El centro de SanRafael de Heredia",30203
744,"Casa #3 Hatillo 8",30204
745,"Oroci de Cartago",30205
746,"Heredia Centro",30206
747,"Ciudad quesada,San Carlos",30301
748,"El centro de SanRafael de Heredia",30302
749,"Casa #3 Hatillo 8",30303
750,"Oroci de Cartago",30304
751,"Heredia Centro",30305
752,"Ciudad quesada,San Carlos",30306
753,"El centro de SanRafael de Heredia",30307
754,"Casa #3 Hatillo 8",30308
755,"Oroci de Cartago",30401
756,"Heredia Centro",30402
757,"Ciudad quesada,San Carlos",30403
