"IDFACTURA","IDCARRITO","IDEMPLEADO","FECHAFACTURA","SUBTOTAL","IVA","TOTALFACTURA","IDFORMAPAGO"
60,60,60,2/5/2010,28500,1500,28500,60
61,61,61,2/6/2010,2000,1500,2000,61
62,62,62,2/7/2010,3500,1500,3500,62
63,63,63,2/8/2010,5000,1500,5000,63
64,64,64,2/9/2010,15000,1500,15000,64
65,65,65,2/10/2010,28500,1500,28500,65
66,66,66,2/11/2010,2000,1500,2000,66
67,67,67,2/12/2010,3500,1500,3500,67
68,68,68,2/13/2010,5000,1500,5000,68
69,69,69,2/14/2010,15000,1500,15000,69
70,70,70,2/15/2010,28500,1500,28500,70
71,71,71,2/16/2010,2000,1500,2000,71
72,72,72,2/17/2010,3500,1500,3500,72
73,73,73,2/18/2010,5000,1500,5000,73
74,74,74,2/19/2010,15000,1500,15000,74
75,75,75,2/20/2010,28500,1500,28500,75
76,76,76,2/21/2010,2000,1500,2000,76
77,77,77,2/22/2010,3500,1500,3500,77
78,78,78,2/23/2010,5000,1500,5000,78
79,79,79,2/24/2010,15000,1500,15000,79
80,80,80,2/25/2010,28500,1500,28500,80
81,81,81,2/26/2010,2000,1500,2000,81
82,82,82,2/27/2010,3500,1500,3500,82
83,83,83,2/28/2010,5000,1500,5000,83
84,84,84,3/1/2010,15000,1500,15000,84
85,85,85,3/2/2010,28500,1500,28500,85
86,86,86,3/3/2010,2000,1500,2000,86
87,87,87,3/4/2010,3500,1500,3500,87
88,88,88,3/5/2010,5000,1500,5000,88
89,89,89,3/6/2010,15000,1500,15000,89
90,90,90,3/7/2010,28500,1500,28500,90
91,91,91,3/8/2010,2000,1500,2000,91
92,92,92,3/9/2010,3500,1500,3500,92
93,93,93,3/10/2010,5000,1500,5000,93
94,94,94,3/11/2010,15000,1500,15000,94
95,95,95,3/12/2010,28500,1500,28500,95
96,96,96,3/13/2010,2000,1500,2000,96
97,97,97,3/14/2010,3500,1500,3500,97
98,98,98,3/15/2010,5000,1500,5000,98
99,99,99,3/16/2010,15000,1500,15000,99
100,100,100,3/17/2010,28500,1500,28500,100
101,101,101,3/18/2010,2000,1500,2000,101
102,102,102,3/19/2010,3500,1500,3500,102
103,103,103,3/20/2010,5000,1500,5000,103
104,104,104,3/21/2010,15000,1500,15000,104
105,105,105,3/22/2010,28500,1500,28500,105
106,106,106,3/23/2010,2000,1500,2000,106
107,107,107,3/24/2010,3500,1500,3500,107
108,108,108,3/25/2010,5000,1500,5000,108
109,109,109,3/26/2010,15000,1500,15000,109
110,110,110,3/27/2010,28500,1500,28500,110
111,111,111,3/28/2010,2000,1500,2000,111
112,112,112,3/29/2010,3500,1500,3500,112
113,113,113,3/30/2010,5000,1500,5000,113
114,114,114,3/31/2010,15000,1500,15000,114
115,115,115,4/1/2010,28500,1500,28500,115
116,116,116,4/2/2010,2000,1500,2000,116
117,117,117,4/3/2010,3500,1500,3500,117
118,118,118,4/4/2010,5000,1500,5000,118
119,119,119,4/5/2010,15000,1500,15000,119
120,120,120,4/6/2010,28500,1500,28500,120
121,121,121,4/7/2010,2000,1500,2000,121
122,122,122,4/8/2010,3500,1500,3500,122
123,123,123,4/9/2010,5000,1500,5000,123
124,124,124,4/10/2010,15000,1500,15000,124
125,125,125,4/11/2010,28500,1500,28500,125
126,126,126,4/12/2010,2000,1500,2000,126
127,127,127,4/13/2010,3500,1500,3500,127
128,128,128,4/14/2010,5000,1500,5000,128
129,129,129,4/15/2010,15000,1500,15000,129
130,130,130,4/16/2010,28500,1500,28500,130
131,131,131,4/17/2010,2000,1500,2000,131
132,132,132,4/18/2010,3500,1500,3500,132
133,133,133,4/19/2010,5000,1500,5000,133
134,134,134,4/20/2010,15000,1500,15000,134
135,135,135,4/21/2010,28500,1500,28500,135
136,136,136,4/22/2010,2000,1500,2000,136
137,137,137,4/23/2010,3500,1500,3500,137
138,138,138,4/24/2010,5000,1500,5000,138
139,139,139,4/25/2010,15000,1500,15000,139
140,140,140,4/26/2010,28500,1500,28500,140
141,141,141,4/27/2010,2000,1500,2000,141
142,142,142,4/28/2010,3500,1500,3500,142
143,143,143,4/29/2010,5000,1500,5000,143
144,144,144,4/30/2010,15000,1500,15000,144
145,145,145,5/1/2010,28500,1500,28500,145
146,146,146,5/2/2010,2000,1500,2000,146
147,147,147,5/3/2010,3500,1500,3500,147
148,148,148,5/4/2010,5000,1500,5000,148
149,149,149,5/5/2010,15000,1500,15000,149
150,150,150,5/6/2010,28500,1500,28500,150
151,151,151,5/7/2010,2000,1500,2000,151
152,152,152,5/8/2010,3500,1500,3500,152
153,153,153,5/9/2010,5000,1500,5000,153
154,154,154,5/10/2010,15000,1500,15000,154
155,155,155,5/11/2010,28500,1500,28500,155
156,156,156,5/12/2010,2000,1500,2000,156
157,157,157,5/13/2010,3500,1500,3500,157
158,158,158,5/14/2010,5000,1500,5000,158
159,159,159,5/15/2010,15000,1500,15000,159
160,160,160,5/16/2010,28500,1500,28500,160
161,161,161,5/17/2010,2000,1500,2000,161
162,162,162,5/18/2010,3500,1500,3500,162
163,163,163,5/19/2010,5000,1500,5000,163
164,164,164,5/20/2010,15000,1500,15000,164
165,165,165,5/21/2010,28500,1500,28500,165
166,166,166,5/22/2010,2000,1500,2000,166
167,167,167,5/23/2010,3500,1500,3500,167
168,168,168,5/24/2010,5000,1500,5000,168
169,169,169,5/25/2010,15000,1500,15000,169
170,170,170,5/26/2010,28500,1500,28500,170
171,171,171,5/27/2010,2000,1500,2000,171
172,172,172,5/28/2010,3500,1500,3500,172
173,173,173,5/29/2010,5000,1500,5000,173
174,174,174,5/30/2010,15000,1500,15000,174
175,175,175,5/31/2010,28500,1500,28500,175
176,176,176,6/1/2010,2000,1500,2000,176
177,177,177,6/2/2010,3500,1500,3500,177
178,178,178,6/3/2010,5000,1500,5000,178
179,179,179,6/4/2010,15000,1500,15000,179
180,180,180,6/5/2010,2000,1500,2000,180
181,181,181,6/6/2010,3500,1500,3500,181
182,182,182,6/7/2010,5000,1500,5000,182
183,183,183,6/8/2010,15000,1500,15000,183
184,184,184,6/9/2010,28500,1500,28500,184
185,185,185,6/10/2010,2000,1500,2000,185
186,186,186,6/11/2010,3500,1500,3500,186
187,187,187,6/12/2010,5000,1500,5000,187
188,188,188,6/13/2010,15000,1500,15000,188
189,189,189,6/14/2010,28500,1500,28500,189
190,190,190,6/15/2010,2000,1500,2000,190
191,191,191,6/16/2010,3500,1500,3500,191
192,192,192,6/17/2010,5000,1500,5000,192
193,193,193,6/18/2010,15000,1500,15000,193
194,194,194,6/19/2010,28500,1500,28500,194
195,195,195,6/20/2010,2000,1500,2000,195
196,196,196,6/21/2010,3500,1500,3500,196
197,197,197,6/22/2010,5000,1500,5000,197
198,198,198,6/23/2010,15000,1500,15000,198
199,199,199,6/24/2010,28500,1500,28500,199
200,200,200,6/25/2010,2000,1500,2000,200
201,201,201,6/26/2010,3500,1500,3500,201
202,202,202,6/27/2010,5000,1500,5000,202
203,203,203,6/28/2010,15000,1500,15000,203
204,204,204,6/29/2010,28500,1500,28500,204
205,205,205,6/30/2010,2000,1500,2000,205
206,206,206,7/1/2010,3500,1500,3500,206
207,207,207,7/2/2010,5000,1500,5000,207
208,208,208,7/3/2010,15000,1500,15000,208
209,209,209,7/4/2010,28500,1500,28500,209
210,210,210,7/5/2010,2000,1500,2000,210
211,211,211,7/6/2010,3500,1500,3500,211
212,212,212,7/7/2010,5000,1500,5000,212
213,213,213,7/8/2010,15000,1500,15000,213
214,214,214,7/9/2010,28500,1500,28500,214
215,215,215,7/10/2010,2000,1500,2000,215
216,216,216,7/11/2010,3500,1500,3500,216
217,217,217,7/12/2010,5000,1500,5000,217
218,218,218,7/13/2010,15000,1500,15000,218
219,219,219,7/14/2010,28500,1500,28500,219
220,220,220,7/15/2010,2000,1500,2000,220
221,221,221,7/16/2010,3500,1500,3500,221
222,222,222,7/17/2010,5000,1500,5000,222
223,223,223,7/18/2010,15000,1500,15000,223
224,224,224,7/19/2010,28500,1500,28500,224
225,225,225,7/20/2010,2000,1500,2000,225
226,226,226,7/21/2010,3500,1500,3500,226
227,227,227,7/22/2010,5000,1500,5000,227
228,228,228,7/23/2010,15000,1500,15000,228
229,229,229,7/24/2010,28500,1500,28500,229
230,230,230,7/25/2010,2000,1500,2000,230
231,231,231,7/26/2010,3500,1500,3500,231
232,232,232,7/27/2010,5000,1500,5000,232
233,233,233,7/28/2010,15000,1500,15000,233
234,234,234,7/29/2010,28500,1500,28500,234
235,235,235,7/30/2010,2000,1500,2000,235
236,236,236,7/31/2010,3500,1500,3500,236
237,237,237,8/1/2010,5000,1500,5000,237
238,238,238,8/2/2010,15000,1500,15000,238
239,239,239,8/3/2010,28500,1500,28500,239
240,240,240,8/4/2010,2000,1500,2000,240
241,241,241,8/5/2010,3500,1500,3500,241
242,242,242,8/6/2010,5000,1500,5000,242
243,243,243,8/7/2010,15000,1500,15000,243
244,244,244,8/8/2010,28500,1500,28500,244
245,245,245,8/9/2010,2000,1500,2000,245
246,246,246,8/10/2010,3500,1500,3500,246
247,247,247,8/11/2010,5000,1500,5000,247
248,248,248,8/12/2010,15000,1500,15000,248
249,249,249,8/13/2010,28500,1500,28500,249
250,250,250,8/14/2010,2000,1500,2000,250
251,251,251,8/15/2010,3500,1500,3500,251
252,252,252,8/16/2010,5000,1500,5000,252
253,253,253,8/17/2010,15000,1500,15000,253
254,254,254,8/18/2010,28500,1500,28500,254
255,255,255,8/19/2010,2000,1500,2000,255
256,256,256,8/20/2010,3500,1500,3500,256
257,257,257,8/21/2010,5000,1500,5000,257
258,258,258,8/22/2010,15000,1500,15000,258
259,259,259,8/23/2010,28500,1500,28500,259
260,260,260,8/24/2010,2000,1500,2000,260
261,261,261,8/25/2010,3500,1500,3500,261
262,262,262,8/26/2010,5000,1500,5000,262
263,263,263,8/27/2010,15000,1500,15000,263
264,264,264,8/28/2010,28500,1500,28500,264
265,265,265,8/29/2010,2000,1500,2000,265
266,266,266,8/30/2010,3500,1500,3500,266
267,267,267,8/31/2010,5000,1500,5000,267
268,268,268,9/1/2010,15000,1500,15000,268
269,269,269,9/2/2010,28500,1500,28500,269
270,270,270,9/3/2010,2000,1500,2000,270
271,271,271,9/4/2010,3500,1500,3500,271
272,272,272,9/5/2010,5000,1500,5000,272
273,273,273,9/6/2010,15000,1500,15000,273
274,274,274,9/7/2010,28500,1500,28500,274
275,275,275,9/8/2010,2000,1500,2000,275
276,276,276,9/9/2010,3500,1500,3500,276
277,277,277,9/10/2010,5000,1500,5000,277
278,278,278,9/11/2010,15000,1500,15000,278
279,279,279,9/12/2010,28500,1500,28500,279
280,280,280,9/13/2010,2000,1500,2000,280
281,281,281,9/14/2010,3500,1500,3500,281
282,282,282,9/15/2010,5000,1500,5000,282
283,283,283,9/16/2010,15000,1500,15000,283
284,284,284,9/17/2010,28500,1500,28500,284
285,285,285,9/18/2010,2000,1500,2000,285
286,286,286,9/19/2010,3500,1500,3500,286
287,287,287,9/20/2010,5000,1500,5000,287
288,288,288,9/21/2010,15000,1500,15000,288
289,289,289,9/22/2010,28500,1500,28500,289
290,290,290,9/23/2010,2000,1500,2000,290
291,291,291,9/24/2010,3500,1500,3500,291
292,292,292,9/25/2010,5000,1500,5000,292
293,293,293,9/26/2010,15000,1500,15000,293
294,294,294,9/27/2010,28500,1500,28500,294
295,295,295,9/28/2010,2000,1500,2000,295
296,296,296,9/29/2010,3500,1500,3500,296
297,297,297,9/30/2010,5000,1500,5000,297
298,298,298,10/1/2010,15000,1500,15000,298
299,299,299,10/2/2010,28500,1500,28500,299
300,300,300,10/3/2010,2000,1500,2000,300
301,301,301,10/4/2010,3500,1500,3500,301
302,302,302,10/5/2010,5000,1500,5000,302
303,303,303,10/6/2010,15000,1500,15000,303
304,304,304,10/7/2010,28500,1500,28500,304
305,305,305,10/8/2010,2000,1500,2000,305
306,306,306,10/9/2010,3500,1500,3500,306
307,307,307,10/10/2010,5000,1500,5000,307
308,308,308,10/11/2010,15000,1500,15000,308
309,309,309,10/12/2010,28500,1500,28500,309
310,310,310,10/13/2010,2000,1500,2000,310
311,311,311,10/14/2010,3500,1500,3500,311
312,312,312,10/15/2010,5000,1500,5000,312
313,313,313,10/16/2010,15000,1500,15000,313
314,314,314,10/17/2010,28500,1500,28500,314
315,315,315,10/18/2010,2000,1500,2000,315
316,316,316,10/19/2010,3500,1500,3500,316
317,317,317,10/20/2010,5000,1500,5000,317
318,318,318,10/21/2010,15000,1500,15000,318
319,319,319,10/22/2010,28500,1500,28500,319
320,320,320,10/23/2010,2000,1500,2000,320
321,321,321,10/24/2010,3500,1500,3500,321
322,322,322,10/25/2010,5000,1500,5000,322
323,323,323,10/26/2010,15000,1500,15000,323
324,324,324,10/27/2010,28500,1500,28500,324
325,325,325,10/28/2010,2000,1500,2000,325
326,326,326,10/29/2010,3500,1500,3500,326
327,327,327,10/30/2010,5000,1500,5000,327
328,328,328,10/31/2010,15000,1500,15000,328
329,329,329,11/1/2010,28500,1500,28500,329
330,330,330,11/2/2010,2000,1500,2000,330
331,331,331,11/3/2010,3500,1500,3500,331
332,332,332,11/4/2010,5000,1500,5000,332
333,333,333,11/5/2010,15000,1500,15000,333
334,334,334,11/6/2010,28500,1500,28500,334
335,335,335,11/7/2010,2000,1500,2000,335
336,336,336,11/8/2010,3500,1500,3500,336
337,337,337,11/9/2010,5000,1500,5000,337
338,338,338,11/10/2010,15000,1500,15000,338
339,339,339,11/11/2010,28500,1500,28500,339
340,340,340,11/12/2010,2000,1500,2000,340
341,341,341,11/13/2010,3500,1500,3500,341
342,342,342,11/14/2010,5000,1500,5000,342
343,343,343,11/15/2010,15000,1500,15000,343
344,344,344,11/16/2010,28500,1500,28500,344
345,345,345,11/17/2010,2000,1500,2000,345
346,346,346,11/18/2010,3500,1500,3500,346
347,347,347,11/19/2010,5000,1500,5000,347
348,348,348,11/20/2010,2000,1500,2000,348
349,349,349,11/21/2010,3500,1500,3500,349
350,350,350,11/22/2010,5000,1500,5000,350
351,351,351,11/23/2010,15000,1500,15000,351
352,352,352,11/24/2010,28500,1500,28500,352
353,353,353,11/25/2010,2000,1500,2000,353
354,354,354,11/26/2010,3500,1500,3500,354
355,355,355,11/27/2010,5000,1500,5000,355
356,356,356,11/28/2010,15000,1500,15000,356
357,357,357,11/29/2010,28500,1500,28500,357
358,358,358,11/30/2010,2000,1500,2000,358
359,359,359,12/1/2010,3500,1500,3500,359
360,360,360,12/2/2010,5000,1500,5000,360
361,361,361,12/3/2010,15000,1500,15000,361
362,362,362,12/4/2010,28500,1500,28500,362
363,363,363,12/5/2010,2000,1500,2000,363
364,364,364,12/6/2010,3500,1500,3500,364
365,365,365,12/7/2010,5000,1500,5000,365
366,366,366,12/8/2010,15000,1500,15000,366
367,367,367,12/9/2010,28500,1500,28500,367
368,368,368,12/10/2010,2000,1500,2000,368
369,369,369,12/11/2010,3500,1500,3500,369
370,370,370,12/12/2010,5000,1500,5000,370
371,371,371,12/13/2010,15000,1500,15000,371
372,372,372,12/14/2010,28500,1500,28500,372
373,373,373,12/15/2010,2000,1500,2000,373
374,374,374,12/16/2010,3500,1500,3500,374
375,375,375,12/17/2010,5000,1500,5000,375
376,376,376,12/18/2010,15000,1500,15000,376
377,377,377,12/19/2010,28500,1500,28500,377
378,378,378,12/20/2010,2000,1500,2000,378
379,379,379,12/21/2010,3500,1500,3500,379
380,380,380,12/22/2010,5000,1500,5000,380
381,381,381,12/23/2010,15000,1500,15000,381
382,382,382,12/24/2010,28500,1500,28500,382
383,383,383,12/25/2010,2000,1500,2000,383
384,384,384,12/26/2010,3500,1500,3500,384
385,385,385,12/27/2010,5000,1500,5000,385
386,386,386,12/28/2010,15000,1500,15000,386
387,387,387,12/29/2010,28500,1500,28500,387
388,388,388,12/30/2010,2000,1500,2000,388
389,389,389,12/31/2010,3500,1500,3500,389
390,390,390,1/1/2011,5000,1500,5000,390
391,391,391,1/2/2011,15000,1500,15000,391
392,392,392,1/3/2011,28500,1500,28500,392
393,393,393,1/4/2011,2000,1500,2000,393
394,394,394,1/5/2011,3500,1500,3500,394
395,395,395,1/6/2011,5000,1500,5000,395
396,396,396,1/7/2011,15000,1500,15000,396
397,397,397,1/8/2011,28500,1500,28500,397
398,398,398,1/9/2011,2000,1500,2000,398
399,399,399,1/10/2011,3500,1500,3500,399
400,400,400,1/11/2011,5000,1500,5000,400
401,401,401,1/12/2011,15000,1500,15000,401
402,402,402,1/13/2011,28500,1500,28500,402
403,403,403,1/14/2011,2000,1500,2000,403
404,404,404,1/15/2011,3500,1500,3500,404
405,405,405,1/16/2011,5000,1500,5000,405
406,406,406,1/17/2011,15000,1500,15000,406
407,407,407,1/18/2011,28500,1500,28500,407
408,408,408,1/19/2011,2000,1500,2000,408
409,409,409,1/20/2011,3500,1500,3500,409
410,410,410,1/21/2011,5000,1500,5000,410
411,411,411,1/22/2011,15000,1500,15000,411
412,412,412,1/23/2011,28500,1500,28500,412
413,413,413,1/24/2011,2000,1500,2000,413
414,414,414,1/25/2011,3500,1500,3500,414
415,415,415,1/26/2011,5000,1500,5000,415
416,416,416,1/27/2011,15000,1500,15000,416
417,417,417,1/28/2011,28500,1500,28500,417
418,418,418,1/29/2011,2000,1500,2000,418
419,419,419,1/30/2011,3500,1500,3500,419
420,420,420,1/31/2011,5000,1500,5000,420
421,421,421,2/1/2011,15000,1500,15000,421
422,422,422,2/2/2011,28500,1500,28500,422
423,423,423,2/3/2011,2000,1500,2000,423
424,424,424,2/4/2011,3500,1500,3500,424
425,425,425,2/5/2011,5000,1500,5000,425
426,426,426,2/6/2011,15000,1500,15000,426
427,427,427,2/7/2011,28500,1500,28500,427
428,428,428,2/8/2011,2000,1500,2000,428
429,429,429,2/9/2011,3500,1500,3500,429
430,430,430,2/10/2011,5000,1500,5000,430
431,431,431,2/11/2011,15000,1500,15000,431
432,432,432,2/12/2011,28500,1500,28500,432
433,433,433,2/13/2011,2000,1500,2000,433
434,434,434,2/14/2011,3500,1500,3500,434
435,435,435,2/15/2011,5000,1500,5000,435
436,436,436,2/16/2011,15000,1500,15000,436
437,437,437,2/17/2011,28500,1500,28500,437
438,438,438,2/18/2011,2000,1500,2000,438
439,439,439,2/19/2011,3500,1500,3500,439
440,440,440,2/20/2011,5000,1500,5000,440
441,441,441,2/21/2011,15000,1500,15000,441
442,442,442,2/22/2011,28500,1500,28500,442
443,443,443,2/23/2011,2000,1500,2000,443
444,444,444,2/24/2011,3500,1500,3500,444
445,445,445,2/25/2011,5000,1500,5000,445
446,446,446,2/26/2011,15000,1500,15000,446
447,447,447,2/27/2011,28500,1500,28500,447
448,448,448,2/28/2011,2000,1500,2000,448
449,449,449,3/1/2011,3500,1500,3500,449
450,450,450,3/2/2011,5000,1500,5000,450
451,451,451,3/3/2011,15000,1500,15000,451
452,452,452,3/4/2011,28500,1500,28500,452
453,453,453,3/5/2011,2000,1500,2000,453
454,454,454,3/6/2011,3500,1500,3500,454
455,455,455,3/7/2011,5000,1500,5000,455
456,456,456,3/8/2011,15000,1500,15000,456
457,457,457,3/9/2011,28500,1500,28500,457
458,458,458,3/10/2011,2000,1500,2000,458
459,459,459,3/11/2011,3500,1500,3500,459
460,460,460,3/12/2011,5000,1500,5000,460
461,461,461,3/13/2011,15000,1500,15000,461
462,462,462,3/14/2011,28500,1500,28500,462
463,463,463,3/15/2011,2000,1500,2000,463
464,464,464,3/16/2011,3500,1500,3500,464
465,465,465,3/17/2011,5000,1500,5000,465
466,466,466,3/18/2011,15000,1500,15000,466
467,467,467,3/19/2011,28500,1500,28500,467
468,468,468,3/20/2011,2000,1500,2000,468
469,469,469,3/21/2011,3500,1500,3500,469
470,470,470,3/22/2011,5000,1500,5000,470
471,471,471,3/23/2011,15000,1500,15000,471
472,472,472,3/24/2011,28500,1500,28500,472
473,473,473,3/25/2011,2000,1500,2000,473
474,474,474,3/26/2011,3500,1500,3500,474
475,475,475,3/27/2011,5000,1500,5000,475
476,476,476,3/28/2011,15000,1500,15000,476
477,477,477,3/29/2011,28500,1500,28500,477
478,478,478,3/30/2011,2000,1500,2000,478
479,479,479,3/31/2011,3500,1500,3500,479
480,480,480,4/1/2011,5000,1500,5000,480
481,481,481,4/2/2011,15000,1500,15000,481
482,482,482,4/3/2011,28500,1500,28500,482
483,483,483,4/4/2011,2000,1500,2000,483
484,484,484,4/5/2011,3500,1500,3500,484
485,485,485,4/6/2011,5000,1500,5000,485
486,486,486,4/7/2011,15000,1500,15000,486
487,487,487,4/8/2011,28500,1500,28500,487
488,488,488,4/9/2011,2000,1500,2000,488
489,489,489,4/10/2011,3500,1500,3500,489
490,490,490,4/11/2011,5000,1500,5000,490
491,491,491,4/12/2011,15000,1500,15000,491
492,492,492,4/13/2011,28500,1500,28500,492
493,493,493,4/14/2011,2000,1500,2000,493
494,494,494,4/15/2011,3500,1500,3500,494
495,495,495,4/16/2011,5000,1500,5000,495
496,496,496,4/17/2011,15000,1500,15000,496
497,497,497,4/18/2011,28500,1500,28500,497
498,498,498,4/19/2011,2000,1500,2000,498
499,499,499,4/20/2011,3500,1500,3500,499
500,500,500,4/21/2011,5000,1500,5000,500
501,501,501,4/22/2011,15000,1500,15000,501
502,502,502,4/23/2011,28500,1500,28500,502
503,503,503,4/24/2011,2000,1500,2000,503
504,504,504,4/25/2011,3500,1500,3500,504
505,505,505,4/26/2011,5000,1500,5000,505
506,506,506,4/27/2011,15000,1500,15000,506
507,507,507,4/28/2011,28500,1500,28500,507
508,508,508,4/29/2011,2000,1500,2000,508
509,509,509,4/30/2011,3500,1500,3500,509
510,510,510,5/1/2011,5000,1500,5000,510
511,511,511,5/2/2011,15000,1500,15000,511
512,512,512,5/3/2011,28500,1500,28500,512
513,513,513,5/4/2011,2000,1500,2000,513
514,514,514,5/5/2011,3500,1500,3500,514
515,515,515,5/6/2011,5000,1500,5000,515
516,516,516,5/7/2011,15000,1500,15000,516
517,517,517,5/8/2011,28500,1500,28500,517
518,518,518,5/9/2011,2000,1500,2000,518
519,519,519,5/10/2011,3500,1500,3500,519
520,520,520,5/11/2011,5000,1500,5000,520
521,521,521,5/12/2011,15000,1500,15000,521
522,522,522,5/13/2011,28500,1500,28500,522
523,523,523,5/14/2011,2000,1500,2000,523
524,524,524,5/15/2011,3500,1500,3500,524
525,525,525,5/16/2011,5000,1500,5000,525
526,526,526,5/17/2011,15000,1500,15000,526
527,527,527,5/18/2011,2000,1500,2000,527
528,528,528,5/19/2011,3500,1500,3500,528
529,529,529,5/20/2011,5000,1500,5000,529
530,530,530,5/21/2011,15000,1500,15000,530
531,531,531,5/22/2011,28500,1500,28500,531
532,532,532,5/23/2011,2000,1500,2000,532
533,533,533,5/24/2011,3500,1500,3500,533
534,534,534,5/25/2011,5000,1500,5000,534
535,535,535,5/26/2011,15000,1500,15000,535
536,536,536,5/27/2011,28500,1500,28500,536
537,537,537,5/28/2011,2000,1500,2000,537
538,538,538,5/29/2011,3500,1500,3500,538
539,539,539,5/30/2011,5000,1500,5000,539
540,540,540,5/31/2011,15000,1500,15000,540
541,541,541,6/1/2011,28500,1500,28500,541
542,542,542,6/2/2011,2000,1500,2000,542
543,543,543,6/3/2011,3500,1500,3500,543
544,544,544,6/4/2011,5000,1500,5000,544
545,545,545,6/5/2011,15000,1500,15000,545
546,546,546,6/6/2011,28500,1500,28500,546
547,547,547,6/7/2011,2000,1500,2000,547
548,548,548,6/8/2011,3500,1500,3500,548
549,549,549,6/9/2011,5000,1500,5000,549
550,550,550,6/10/2011,15000,1500,15000,550
551,551,551,6/11/2011,28500,1500,28500,551
552,552,552,6/12/2011,2000,1500,2000,552
553,553,553,6/13/2011,3500,1500,3500,553
554,554,554,6/14/2011,5000,1500,5000,554
555,555,555,6/15/2011,15000,1500,15000,555
556,556,556,6/16/2011,28500,1500,28500,556
557,557,557,6/17/2011,2000,1500,2000,557
558,558,558,6/18/2011,3500,1500,3500,558
559,559,559,6/19/2011,5000,1500,5000,559
560,560,560,6/20/2011,15000,1500,15000,560
561,561,561,6/21/2011,28500,1500,28500,561
562,562,562,6/22/2011,2000,1500,2000,562
563,563,563,6/23/2011,3500,1500,3500,563
564,564,564,6/24/2011,5000,1500,5000,564
565,565,565,6/25/2011,15000,1500,15000,565
566,566,566,6/26/2011,28500,1500,28500,566
567,567,567,6/27/2011,2000,1500,2000,567
568,568,568,6/28/2011,3500,1500,3500,568
569,569,569,6/29/2011,5000,1500,5000,569
570,570,570,6/30/2011,15000,1500,15000,570
571,571,571,7/1/2011,28500,1500,28500,571
572,572,572,7/2/2011,2000,1500,2000,572
573,573,573,7/3/2011,3500,1500,3500,573
574,574,574,7/4/2011,5000,1500,5000,574
575,575,575,7/5/2011,15000,1500,15000,575
576,576,576,7/6/2011,28500,1500,28500,576
577,577,577,7/7/2011,2000,1500,2000,577
