IDENVIO,IDDETALLEVENTA,IDCLIENTE,ESTADOENVIO,FECHA
65,65,65,EN PROCESO,2/10/2010
66,66,66,EN PROCESO,2/11/2010
67,67,67,ENTREGADO,2/12/2010
68,68,68,EN PROCESO,2/13/2010
69,69,69,ENTREGADO,2/14/2010
70,70,70,EN PROCESO,2/15/2010
71,71,71,EN PROCESO,2/16/2010
72,72,72,ENTREGADO,2/17/2010
73,73,73,EN PROCESO,2/18/2010
74,74,74,ENTREGADO,2/19/2010
75,75,75,EN PROCESO,2/20/2010
76,76,76,EN PROCESO,2/21/2010
77,77,77,ENTREGADO,2/22/2010
78,78,78,EN PROCESO,2/23/2010
79,79,79,ENTREGADO,2/24/2010
80,80,80,EN PROCESO,2/25/2010
81,81,81,EN PROCESO,2/26/2010
82,82,82,ENTREGADO,2/27/2010
83,83,83,EN PROCESO,2/28/2010
84,84,84,ENTREGADO,3/1/2010
85,85,85,EN PROCESO,3/2/2010
86,86,86,EN PROCESO,3/3/2010
87,87,87,ENTREGADO,3/4/2010
88,88,88,EN PROCESO,3/5/2010
89,89,89,ENTREGADO,3/6/2010
90,90,90,EN PROCESO,3/7/2010
91,91,91,EN PROCESO,3/8/2010
92,92,92,ENTREGADO,3/9/2010
93,93,93,EN PROCESO,3/10/2010
94,94,94,ENTREGADO,3/11/2010
95,95,95,EN PROCESO,3/12/2010
96,96,96,EN PROCESO,3/13/2010
97,97,97,ENTREGADO,3/14/2010
98,98,98,EN PROCESO,3/15/2010
99,99,99,ENTREGADO,3/16/2010
100,100,100,EN PROCESO,3/17/2010
101,101,101,EN PROCESO,3/18/2010
102,102,102,ENTREGADO,3/19/2010
103,103,103,EN PROCESO,3/20/2010
104,104,104,ENTREGADO,3/21/2010
105,105,105,EN PROCESO,3/22/2010
106,106,106,EN PROCESO,3/23/2010
107,107,107,ENTREGADO,3/24/2010
108,108,108,EN PROCESO,3/25/2010
109,109,109,ENTREGADO,3/26/2010
110,110,110,EN PROCESO,3/27/2010
111,111,111,EN PROCESO,3/28/2010
112,112,112,ENTREGADO,3/29/2010
113,113,113,EN PROCESO,3/30/2010
114,114,114,ENTREGADO,3/31/2010
115,115,115,EN PROCESO,4/1/2010
116,116,116,EN PROCESO,4/2/2010
117,117,117,ENTREGADO,4/3/2010
118,118,118,EN PROCESO,4/4/2010
119,119,119,ENTREGADO,4/5/2010
120,120,120,EN PROCESO,4/6/2010
121,121,121,EN PROCESO,4/7/2010
122,122,122,ENTREGADO,4/8/2010
123,123,123,EN PROCESO,4/9/2010
124,124,124,ENTREGADO,4/10/2010
125,125,125,EN PROCESO,4/11/2010
126,126,126,EN PROCESO,4/12/2010
127,127,127,ENTREGADO,4/13/2010
128,128,128,EN PROCESO,4/14/2010
129,129,129,ENTREGADO,4/15/2010
130,130,130,EN PROCESO,4/16/2010
131,131,131,EN PROCESO,4/17/2010
132,132,132,ENTREGADO,4/18/2010
133,133,133,EN PROCESO,4/19/2010
134,134,134,ENTREGADO,4/20/2010
135,135,135,EN PROCESO,4/21/2010
136,136,136,EN PROCESO,4/22/2010
137,137,137,ENTREGADO,4/23/2010
138,138,138,EN PROCESO,4/24/2010
139,139,139,ENTREGADO,4/25/2010
140,140,140,EN PROCESO,4/26/2010
141,141,141,EN PROCESO,4/27/2010
142,142,142,ENTREGADO,4/28/2010
143,143,143,EN PROCESO,4/29/2010
144,144,144,ENTREGADO,4/30/2010
145,145,145,EN PROCESO,5/1/2010
146,146,146,EN PROCESO,5/2/2010
147,147,147,ENTREGADO,5/3/2010
148,148,148,EN PROCESO,5/4/2010
149,149,149,ENTREGADO,5/5/2010
150,150,150,EN PROCESO,5/6/2010
151,151,151,EN PROCESO,5/7/2010
152,152,152,ENTREGADO,5/8/2010
153,153,153,EN PROCESO,5/9/2010
154,154,154,ENTREGADO,5/10/2010
155,155,155,EN PROCESO,5/11/2010
156,156,156,EN PROCESO,5/12/2010
157,157,157,ENTREGADO,5/13/2010
158,158,158,EN PROCESO,5/14/2010
159,159,159,ENTREGADO,5/15/2010
160,160,160,EN PROCESO,5/16/2010
161,161,161,EN PROCESO,5/17/2010
162,162,162,ENTREGADO,5/18/2010
163,163,163,EN PROCESO,5/19/2010
164,164,164,ENTREGADO,5/20/2010
165,165,165,EN PROCESO,5/21/2010
166,166,166,EN PROCESO,5/22/2010
167,167,167,ENTREGADO,5/23/2010
168,168,168,EN PROCESO,5/24/2010
169,169,169,ENTREGADO,5/25/2010
170,170,170,EN PROCESO,5/26/2010
171,171,171,EN PROCESO,5/27/2010
172,172,172,ENTREGADO,5/28/2010
173,173,173,EN PROCESO,5/29/2010
174,174,174,ENTREGADO,5/30/2010
175,175,175,EN PROCESO,5/31/2010
176,176,176,EN PROCESO,6/1/2010
177,177,177,ENTREGADO,6/2/2010
178,178,178,EN PROCESO,6/3/2010
179,179,179,ENTREGADO,6/4/2010
180,180,180,EN PROCESO,6/5/2010
181,181,181,EN PROCESO,6/6/2010
182,182,182,ENTREGADO,6/7/2010
183,183,183,EN PROCESO,6/8/2010
184,184,184,ENTREGADO,6/9/2010
185,185,185,EN PROCESO,6/10/2010
186,186,186,EN PROCESO,6/11/2010
187,187,187,ENTREGADO,6/12/2010
188,188,188,EN PROCESO,6/13/2010
189,189,189,ENTREGADO,6/14/2010
190,190,190,EN PROCESO,6/15/2010
191,191,191,EN PROCESO,6/16/2010
192,192,192,ENTREGADO,6/17/2010
193,193,193,EN PROCESO,6/18/2010
194,194,194,ENTREGADO,6/19/2010
195,195,195,EN PROCESO,6/20/2010
196,196,196,EN PROCESO,6/21/2010
197,197,197,ENTREGADO,6/22/2010
198,198,198,EN PROCESO,6/23/2010
199,199,199,ENTREGADO,6/24/2010
200,200,200,EN PROCESO,6/25/2010
201,201,201,EN PROCESO,6/26/2010
202,202,202,ENTREGADO,6/27/2010
203,203,203,EN PROCESO,6/28/2010
204,204,204,ENTREGADO,6/29/2010
205,205,205,EN PROCESO,6/30/2010
206,206,206,EN PROCESO,7/1/2010
207,207,207,ENTREGADO,7/2/2010
208,208,208,EN PROCESO,7/3/2010
209,209,209,ENTREGADO,7/4/2010
210,210,210,EN PROCESO,7/5/2010
211,211,211,EN PROCESO,7/6/2010
212,212,212,ENTREGADO,7/7/2010
213,213,213,EN PROCESO,7/8/2010
214,214,214,ENTREGADO,7/9/2010
215,215,215,EN PROCESO,7/10/2010
216,216,216,EN PROCESO,7/11/2010
217,217,217,ENTREGADO,7/12/2010
218,218,218,EN PROCESO,7/13/2010
219,219,219,ENTREGADO,7/14/2010
220,220,220,EN PROCESO,7/15/2010
221,221,221,EN PROCESO,7/16/2010
222,222,222,ENTREGADO,7/17/2010
223,223,223,EN PROCESO,7/18/2010
224,224,224,ENTREGADO,7/19/2010
225,225,225,EN PROCESO,7/20/2010
226,226,226,EN PROCESO,7/21/2010
227,227,227,ENTREGADO,7/22/2010
228,228,228,EN PROCESO,7/23/2010
229,229,229,ENTREGADO,7/24/2010
230,230,230,EN PROCESO,7/25/2010
231,231,231,EN PROCESO,7/26/2010
232,232,232,ENTREGADO,7/27/2010
233,233,233,EN PROCESO,7/28/2010
234,234,234,ENTREGADO,7/29/2010
235,235,235,EN PROCESO,7/30/2010
236,236,236,EN PROCESO,7/31/2010
237,237,237,ENTREGADO,8/1/2010
238,238,238,EN PROCESO,8/2/2010
239,239,239,ENTREGADO,8/3/2010
240,240,240,EN PROCESO,8/4/2010
241,241,241,EN PROCESO,8/5/2010
242,242,242,ENTREGADO,8/6/2010
243,243,243,EN PROCESO,8/7/2010
244,244,244,ENTREGADO,8/8/2010
245,245,245,EN PROCESO,8/9/2010
246,246,246,EN PROCESO,8/10/2010
247,247,247,ENTREGADO,8/11/2010
248,248,248,EN PROCESO,8/12/2010
249,249,249,ENTREGADO,8/13/2010
250,250,250,EN PROCESO,8/14/2010
251,251,251,EN PROCESO,8/15/2010
252,252,252,ENTREGADO,8/16/2010
253,253,253,EN PROCESO,8/17/2010
254,254,254,ENTREGADO,8/18/2010
255,255,255,EN PROCESO,8/19/2010
256,256,256,EN PROCESO,8/20/2010
257,257,257,ENTREGADO,8/21/2010
258,258,258,EN PROCESO,8/22/2010
259,259,259,ENTREGADO,8/23/2010
260,260,260,EN PROCESO,8/24/2010
261,261,261,EN PROCESO,8/25/2010
262,262,262,ENTREGADO,8/26/2010
263,263,263,EN PROCESO,8/27/2010
264,264,264,ENTREGADO,8/28/2010
265,265,265,EN PROCESO,8/29/2010
266,266,266,EN PROCESO,8/30/2010
267,267,267,ENTREGADO,8/31/2010
268,268,268,EN PROCESO,9/1/2010
269,269,269,ENTREGADO,9/2/2010
270,270,270,EN PROCESO,9/3/2010
271,271,271,EN PROCESO,9/4/2010
272,272,272,ENTREGADO,9/5/2010
273,273,273,EN PROCESO,9/6/2010
274,274,274,ENTREGADO,9/7/2010
275,275,275,EN PROCESO,9/8/2010
276,276,276,EN PROCESO,9/9/2010
277,277,277,ENTREGADO,9/10/2010
278,278,278,EN PROCESO,9/11/2010
279,279,279,ENTREGADO,9/12/2010
280,280,280,EN PROCESO,9/13/2010
281,281,281,EN PROCESO,9/14/2010
282,282,282,ENTREGADO,9/15/2010
283,283,283,EN PROCESO,9/16/2010
284,284,284,ENTREGADO,9/17/2010
285,285,285,EN PROCESO,9/18/2010
286,286,286,EN PROCESO,9/19/2010
287,287,287,ENTREGADO,9/20/2010
288,288,288,EN PROCESO,9/21/2010
289,289,289,ENTREGADO,9/22/2010
290,290,290,EN PROCESO,9/23/2010
291,291,291,EN PROCESO,9/24/2010
292,292,292,ENTREGADO,9/25/2010
293,293,293,EN PROCESO,9/26/2010
294,294,294,ENTREGADO,9/27/2010
295,295,295,EN PROCESO,9/28/2010
296,296,296,EN PROCESO,9/29/2010
297,297,297,ENTREGADO,9/30/2010
298,298,298,EN PROCESO,10/1/2010
299,299,299,ENTREGADO,10/2/2010
300,300,300,EN PROCESO,10/3/2010
301,301,301,EN PROCESO,10/4/2010
302,302,302,ENTREGADO,10/5/2010
303,303,303,EN PROCESO,10/6/2010
304,304,304,ENTREGADO,10/7/2010
305,305,305,EN PROCESO,10/8/2010
306,306,306,EN PROCESO,10/9/2010
307,307,307,ENTREGADO,10/10/2010
308,308,308,EN PROCESO,10/11/2010
309,309,309,ENTREGADO,10/12/2010
310,310,310,EN PROCESO,10/13/2010
311,311,311,EN PROCESO,10/14/2010
312,312,312,ENTREGADO,10/15/2010
313,313,313,EN PROCESO,10/16/2010
314,314,314,ENTREGADO,10/17/2010
315,315,315,EN PROCESO,10/18/2010
316,316,316,EN PROCESO,10/19/2010
317,317,317,ENTREGADO,10/20/2010
318,318,318,EN PROCESO,10/21/2010
319,319,319,ENTREGADO,10/22/2010
320,320,320,EN PROCESO,10/23/2010
321,321,321,EN PROCESO,10/24/2010
322,322,322,ENTREGADO,10/25/2010
323,323,323,EN PROCESO,10/26/2010
324,324,324,ENTREGADO,10/27/2010
325,325,325,EN PROCESO,10/28/2010
326,326,326,EN PROCESO,10/29/2010
327,327,327,ENTREGADO,10/30/2010
328,328,328,EN PROCESO,10/31/2010
329,329,329,ENTREGADO,11/1/2010
330,330,330,EN PROCESO,11/2/2010
331,331,331,EN PROCESO,11/3/2010
332,332,332,ENTREGADO,11/4/2010
333,333,333,EN PROCESO,11/5/2010
334,334,334,ENTREGADO,11/6/2010
335,335,335,EN PROCESO,11/7/2010
336,336,336,EN PROCESO,11/8/2010
337,337,337,ENTREGADO,11/9/2010
338,338,338,EN PROCESO,11/10/2010
339,339,339,ENTREGADO,11/11/2010
340,340,340,EN PROCESO,11/12/2010
341,341,341,EN PROCESO,11/13/2010
342,342,342,ENTREGADO,11/14/2010
343,343,343,EN PROCESO,11/15/2010
344,344,344,ENTREGADO,11/16/2010
345,345,345,EN PROCESO,11/17/2010
346,346,346,EN PROCESO,11/18/2010
347,347,347,ENTREGADO,11/19/2010
348,348,348,EN PROCESO,11/20/2010
349,349,349,ENTREGADO,11/21/2010
350,350,350,EN PROCESO,11/22/2010
351,351,351,EN PROCESO,11/23/2010
352,352,352,ENTREGADO,11/24/2010
353,353,353,EN PROCESO,11/25/2010
354,354,354,ENTREGADO,11/26/2010
355,355,355,EN PROCESO,11/27/2010
356,356,356,EN PROCESO,11/28/2010
357,357,357,ENTREGADO,11/29/2010
358,358,358,EN PROCESO,11/30/2010
359,359,359,ENTREGADO,12/1/2010
360,360,360,EN PROCESO,12/2/2010
361,361,361,EN PROCESO,12/3/2010
362,362,362,ENTREGADO,12/4/2010
363,363,363,EN PROCESO,12/5/2010
364,364,364,ENTREGADO,12/6/2010
365,365,365,EN PROCESO,12/7/2010
366,366,366,EN PROCESO,12/8/2010
367,367,367,ENTREGADO,12/9/2010
368,368,368,EN PROCESO,12/10/2010
369,369,369,ENTREGADO,12/11/2010
370,370,370,EN PROCESO,12/12/2010
371,371,371,EN PROCESO,12/13/2010
372,372,372,ENTREGADO,12/14/2010
373,373,373,EN PROCESO,12/15/2010
374,374,374,ENTREGADO,12/16/2010
375,375,375,EN PROCESO,12/17/2010
376,376,376,EN PROCESO,12/18/2010
377,377,377,ENTREGADO,12/19/2010
378,378,378,EN PROCESO,12/20/2010
379,379,379,ENTREGADO,12/21/2010
380,380,380,EN PROCESO,12/22/2010
381,381,381,EN PROCESO,12/23/2010
382,382,382,ENTREGADO,12/24/2010
383,383,383,EN PROCESO,12/25/2010
384,384,384,ENTREGADO,12/26/2010
385,385,385,EN PROCESO,12/27/2010
386,386,386,EN PROCESO,12/28/2010
387,387,387,ENTREGADO,12/29/2010
388,388,388,EN PROCESO,12/30/2010
389,389,389,ENTREGADO,12/31/2010
390,390,390,EN PROCESO,1/1/2011
391,391,391,EN PROCESO,1/2/2011
392,392,392,ENTREGADO,1/3/2011
393,393,393,EN PROCESO,1/4/2011
394,394,394,ENTREGADO,1/5/2011
395,395,395,EN PROCESO,1/6/2011
396,396,396,EN PROCESO,1/7/2011
397,397,397,ENTREGADO,1/8/2011
398,398,398,EN PROCESO,1/9/2011
399,399,399,ENTREGADO,1/10/2011
400,400,400,EN PROCESO,1/11/2011
401,401,401,EN PROCESO,1/12/2011
402,402,402,ENTREGADO,1/13/2011
403,403,403,EN PROCESO,1/14/2011
404,404,404,ENTREGADO,1/15/2011
405,405,405,EN PROCESO,1/16/2011
406,406,406,EN PROCESO,1/17/2011
407,407,407,ENTREGADO,1/18/2011
408,408,408,EN PROCESO,1/19/2011
409,409,409,ENTREGADO,1/20/2011
410,410,410,EN PROCESO,1/21/2011
411,411,411,EN PROCESO,1/22/2011
412,412,412,ENTREGADO,1/23/2011
413,413,413,EN PROCESO,1/24/2011
414,414,414,ENTREGADO,1/25/2011
415,415,415,EN PROCESO,1/26/2011
416,416,416,EN PROCESO,1/27/2011
417,417,417,ENTREGADO,1/28/2011
418,418,418,EN PROCESO,1/29/2011
419,419,419,ENTREGADO,1/30/2011
420,420,420,EN PROCESO,1/31/2011
421,421,421,EN PROCESO,2/1/2011
422,422,422,ENTREGADO,2/2/2011
423,423,423,EN PROCESO,2/3/2011
424,424,424,ENTREGADO,2/4/2011
425,425,425,EN PROCESO,2/5/2011
426,426,426,EN PROCESO,2/6/2011
427,427,427,ENTREGADO,2/7/2011
428,428,428,EN PROCESO,2/8/2011
429,429,429,ENTREGADO,2/9/2011
430,430,430,EN PROCESO,2/10/2011
431,431,431,EN PROCESO,2/11/2011
432,432,432,ENTREGADO,2/12/2011
433,433,433,EN PROCESO,2/13/2011
434,434,434,ENTREGADO,2/14/2011
435,435,435,EN PROCESO,2/15/2011
436,436,436,EN PROCESO,2/16/2011
437,437,437,ENTREGADO,2/17/2011
438,438,438,EN PROCESO,2/18/2011
439,439,439,ENTREGADO,2/19/2011
440,440,440,EN PROCESO,2/20/2011
441,441,441,EN PROCESO,2/21/2011
442,442,442,ENTREGADO,2/22/2011
443,443,443,EN PROCESO,2/23/2011
444,444,444,ENTREGADO,2/24/2011
445,445,445,EN PROCESO,2/25/2011
446,446,446,EN PROCESO,2/26/2011
447,447,447,ENTREGADO,2/27/2011
448,448,448,EN PROCESO,2/28/2011
449,449,449,ENTREGADO,3/1/2011
450,450,450,EN PROCESO,3/2/2011
451,451,451,EN PROCESO,3/3/2011
452,452,452,ENTREGADO,3/4/2011
453,453,453,EN PROCESO,3/5/2011
454,454,454,ENTREGADO,3/6/2011
455,455,455,EN PROCESO,3/7/2011
456,456,456,EN PROCESO,3/8/2011
457,457,457,ENTREGADO,3/9/2011
458,458,458,EN PROCESO,3/10/2011
459,459,459,ENTREGADO,3/11/2011
460,460,460,EN PROCESO,3/12/2011
461,461,461,EN PROCESO,3/13/2011
462,462,462,ENTREGADO,3/14/2011
463,463,463,EN PROCESO,3/15/2011
464,464,464,ENTREGADO,3/16/2011
465,465,465,EN PROCESO,3/17/2011
466,466,466,EN PROCESO,3/18/2011
467,467,467,ENTREGADO,3/19/2011
468,468,468,EN PROCESO,3/20/2011
469,469,469,ENTREGADO,3/21/2011
470,470,470,EN PROCESO,3/22/2011
471,471,471,EN PROCESO,3/23/2011
472,472,472,ENTREGADO,3/24/2011
473,473,473,EN PROCESO,3/25/2011
474,474,474,ENTREGADO,3/26/2011
475,475,475,EN PROCESO,3/27/2011
476,476,476,EN PROCESO,3/28/2011
477,477,477,ENTREGADO,3/29/2011
478,478,478,EN PROCESO,3/30/2011
479,479,479,ENTREGADO,3/31/2011
480,480,480,EN PROCESO,4/1/2011
481,481,481,EN PROCESO,4/2/2011
482,482,482,ENTREGADO,4/3/2011
483,483,483,EN PROCESO,4/4/2011
484,484,484,ENTREGADO,4/5/2011
485,485,485,EN PROCESO,4/6/2011
486,486,486,EN PROCESO,4/7/2011
487,487,487,ENTREGADO,4/8/2011
488,488,488,EN PROCESO,4/9/2011
489,489,489,ENTREGADO,4/10/2011
490,490,490,EN PROCESO,4/11/2011
491,491,491,EN PROCESO,4/12/2011
492,492,492,ENTREGADO,4/13/2011
493,493,493,EN PROCESO,4/14/2011
494,494,494,ENTREGADO,4/15/2011
495,495,495,EN PROCESO,4/16/2011
496,496,496,EN PROCESO,4/17/2011
497,497,497,ENTREGADO,4/18/2011
498,498,498,EN PROCESO,4/19/2011
499,499,499,ENTREGADO,4/20/2011
500,500,500,EN PROCESO,4/21/2011
501,501,501,EN PROCESO,4/22/2011
502,502,502,ENTREGADO,4/23/2011
503,503,503,EN PROCESO,4/24/2011
504,504,504,ENTREGADO,4/25/2011
505,505,505,EN PROCESO,4/26/2011
506,506,506,EN PROCESO,4/27/2011
507,507,507,ENTREGADO,4/28/2011
508,508,508,EN PROCESO,4/29/2011
509,509,509,ENTREGADO,4/30/2011
510,510,510,EN PROCESO,5/1/2011
511,511,511,EN PROCESO,5/2/2011
512,512,512,ENTREGADO,5/3/2011
513,513,513,EN PROCESO,5/4/2011
514,514,514,ENTREGADO,5/5/2011
515,515,515,EN PROCESO,5/6/2011
516,516,516,EN PROCESO,5/7/2011
517,517,517,ENTREGADO,5/8/2011
518,518,518,EN PROCESO,5/9/2011
519,519,519,ENTREGADO,5/10/2011
520,520,520,EN PROCESO,5/11/2011
521,521,521,EN PROCESO,5/12/2011
522,522,522,ENTREGADO,5/13/2011
523,523,523,EN PROCESO,5/14/2011
524,524,524,ENTREGADO,5/15/2011
525,525,525,EN PROCESO,5/16/2011
526,526,526,EN PROCESO,5/17/2011
527,527,527,ENTREGADO,5/18/2011
528,528,528,EN PROCESO,5/19/2011
529,529,529,ENTREGADO,5/20/2011
530,530,530,EN PROCESO,5/21/2011
531,531,531,EN PROCESO,5/22/2011
532,532,532,ENTREGADO,5/23/2011
533,533,533,EN PROCESO,5/24/2011
534,534,534,ENTREGADO,5/25/2011
535,535,535,EN PROCESO,5/26/2011
536,536,536,EN PROCESO,5/27/2011
537,537,537,ENTREGADO,5/28/2011
538,538,538,EN PROCESO,5/29/2011
539,539,539,ENTREGADO,5/30/2011
540,540,540,EN PROCESO,5/31/2011
541,541,541,EN PROCESO,6/1/2011
542,542,542,ENTREGADO,6/2/2011
543,543,543,EN PROCESO,6/3/2011
544,544,544,ENTREGADO,6/4/2011
545,545,545,EN PROCESO,6/5/2011
546,546,546,EN PROCESO,6/6/2011
547,547,547,ENTREGADO,6/7/2011
548,548,548,EN PROCESO,6/8/2011
549,549,549,ENTREGADO,6/9/2011
550,550,550,EN PROCESO,6/10/2011
551,551,551,EN PROCESO,6/11/2011
552,552,552,ENTREGADO,6/12/2011
553,553,553,EN PROCESO,6/13/2011
554,554,554,ENTREGADO,6/14/2011
555,555,555,EN PROCESO,6/15/2011
556,556,556,EN PROCESO,6/16/2011
557,557,557,ENTREGADO,6/17/2011
558,558,558,EN PROCESO,6/18/2011
559,559,559,ENTREGADO,6/19/2011
560,560,560,EN PROCESO,6/20/2011
561,561,561,EN PROCESO,6/21/2011
562,562,562,ENTREGADO,6/22/2011
563,563,563,EN PROCESO,6/23/2011
564,564,564,ENTREGADO,6/24/2011
565,565,565,EN PROCESO,6/25/2011
566,566,566,EN PROCESO,6/26/2011
567,567,567,ENTREGADO,6/27/2011
568,568,568,EN PROCESO,6/28/2011
569,569,569,ENTREGADO,6/29/2011
570,570,570,EN PROCESO,6/30/2011
571,571,571,EN PROCESO,7/1/2011
572,572,572,ENTREGADO,7/2/2011
573,573,573,EN PROCESO,7/3/2011
574,574,574,ENTREGADO,7/4/2011
575,575,575,EN PROCESO,7/5/2011
576,576,576,EN PROCESO,7/6/2011
577,577,577,ENTREGADO,7/7/2011
578,578,578,EN PROCESO,7/8/2011
579,579,579,ENTREGADO,7/9/2011
580,580,580,EN PROCESO,7/10/2011
581,581,581,EN PROCESO,7/11/2011
582,582,582,ENTREGADO,7/12/2011
583,583,583,EN PROCESO,7/13/2011
584,584,584,ENTREGADO,7/14/2011
585,585,585,EN PROCESO,7/15/2011
586,586,586,EN PROCESO,7/16/2011
587,587,587,ENTREGADO,7/17/2011
588,588,588,EN PROCESO,7/18/2011
589,589,589,ENTREGADO,7/19/2011
590,590,590,EN PROCESO,7/20/2011
591,591,591,EN PROCESO,7/21/2011
592,592,592,ENTREGADO,7/22/2011
593,593,593,EN PROCESO,7/23/2011
594,594,594,ENTREGADO,7/24/2011
595,595,595,EN PROCESO,7/25/2011
596,596,596,EN PROCESO,7/26/2011
597,597,597,ENTREGADO,7/27/2011
598,598,598,EN PROCESO,7/28/2011
599,599,599,ENTREGADO,7/29/2011
600,600,600,EN PROCESO,7/30/2011
601,601,601,EN PROCESO,7/31/2011
602,602,602,ENTREGADO,8/1/2011
603,603,603,EN PROCESO,8/2/2011
604,604,604,ENTREGADO,8/3/2011
605,605,605,EN PROCESO,8/4/2011
606,606,606,EN PROCESO,8/5/2011
607,607,607,ENTREGADO,8/6/2011
608,608,608,EN PROCESO,8/7/2011
609,609,609,ENTREGADO,8/8/2011
610,610,610,EN PROCESO,8/9/2011
611,611,611,EN PROCESO,8/10/2011
612,612,612,ENTREGADO,8/11/2011
613,613,613,EN PROCESO,8/12/2011
614,614,614,ENTREGADO,8/13/2011
615,615,615,EN PROCESO,8/14/2011
616,616,616,EN PROCESO,8/15/2011
617,617,617,ENTREGADO,8/16/2011
618,618,618,EN PROCESO,8/17/2011
619,619,619,ENTREGADO,8/18/2011
620,620,620,EN PROCESO,8/19/2011
621,621,621,EN PROCESO,8/20/2011
622,622,622,ENTREGADO,8/21/2011
623,623,623,EN PROCESO,8/22/2011
624,624,624,ENTREGADO,8/23/2011
625,625,625,EN PROCESO,8/24/2011
626,626,626,EN PROCESO,8/25/2011
627,627,627,ENTREGADO,8/26/2011
628,628,628,EN PROCESO,8/27/2011
629,629,629,ENTREGADO,8/28/2011
630,630,630,EN PROCESO,8/29/2011
631,631,631,EN PROCESO,8/30/2011
632,632,632,ENTREGADO,8/31/2011
633,633,633,EN PROCESO,9/1/2011
634,634,634,ENTREGADO,9/2/2011
635,635,635,EN PROCESO,9/3/2011
636,636,636,EN PROCESO,9/4/2011
637,637,637,ENTREGADO,9/5/2011
638,638,638,EN PROCESO,9/6/2011
639,639,639,ENTREGADO,9/7/2011
640,640,640,EN PROCESO,9/8/2011
641,641,641,EN PROCESO,9/9/2011
642,642,642,ENTREGADO,9/10/2011
643,643,643,EN PROCESO,9/11/2011
644,644,644,ENTREGADO,9/12/2011
645,645,645,EN PROCESO,9/13/2011
646,646,646,EN PROCESO,9/14/2011
647,647,647,ENTREGADO,9/15/2011
648,648,648,EN PROCESO,9/16/2011
649,649,649,ENTREGADO,9/17/2011
650,650,650,EN PROCESO,9/18/2011
651,651,651,EN PROCESO,9/19/2011
652,652,652,ENTREGADO,9/20/2011
653,653,653,EN PROCESO,9/21/2011
654,654,654,ENTREGADO,9/22/2011
655,655,655,EN PROCESO,9/23/2011
656,656,656,EN PROCESO,9/24/2011
657,657,657,ENTREGADO,9/25/2011
658,658,658,EN PROCESO,9/26/2011
659,659,659,ENTREGADO,9/27/2011
660,660,660,EN PROCESO,9/28/2011
661,661,661,EN PROCESO,9/29/2011
662,662,662,ENTREGADO,9/30/2011
