"IDPRODUCTO","NOMBREPRODUCTO","PRECIOPRODUCTO","DESCRIPCIONPRODUCTO","ESTADO","CANTIDADDISPONIBLE","IMAGENPRODUCTO","IDCATEGORIA"
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",39
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",40
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",41
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",42
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",43
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",44
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",45
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",46
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",47
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",48
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",49
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",50
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",51
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",52
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",53
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",54
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",55
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",56
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",57
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",58
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",59
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",60
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",61
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",62
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",63
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",64
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",65
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",66
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",67
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",68
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",69
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",70
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",71
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",72
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",73
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",74
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",75
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",76
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",77
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",78
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",79
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",80
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",81
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",82
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",83
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",84
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",85
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",86
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",87
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",88
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",89
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",90
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",91
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",92
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",93
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",94
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",95
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",96
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",97
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",98
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",99
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",100
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",101
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",102
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",103
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",104
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",105
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",106
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",107
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",108
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",109
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",110
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",111
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",112
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",113
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",114
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",115
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",116
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",117
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",118
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",119
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",120
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",121
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",122
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",123
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",124
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",125
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",126
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",127
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",128
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",129
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",130
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",131
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",132
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",133
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",134
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",135
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",136
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",137
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",138
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",139
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",140
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",141
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",142
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",143
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",144
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",145
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",146
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",147
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",148
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",149
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",150
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",151
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",152
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",153
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",154
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",155
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",156
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",157
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",158
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",159
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",160
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",161
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",162
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",163
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",164
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",165
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",166
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",167
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",168
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",169
6,"ALITAS",28500,"ALITAS","AGOTADO",6,"ALITAS",170
2,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",171
7,"PIZZA",3500,"PIZZA","AGOTADO",7,"PIZZA",172
4,"REFRESCO",5000,"REFRESCO","DISPONIBLE",4,"REFRESCO",173
1,"POSTRE",15000,"POSTRE","AGOTADO",1,"POSTRE",174
6,"ALITAS",28500,"ALITAS","DISPONIBLE",6,"ALITAS",175
2,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",176
7,"PIZZA",3500,"PIZZA","DISPONIBLE",7,"PIZZA",177
4,"REFRESCO",5000,"REFRESCO","AGOTADO",4,"REFRESCO",178
1,"POSTRE",15000,"POSTRE","DISPONIBLE",1,"POSTRE",179
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",180
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",181
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",182
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",183
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",184
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",185
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",186
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",187
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",188
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",189
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",190
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",191
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",192
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",193
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",194
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",195
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",196
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",197
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",198
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",199
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",200
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",201
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",202
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",203
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",204
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",205
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",206
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",207
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",208
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",209
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",210
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",211
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",212
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",213
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",214
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",215
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",216
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",217
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",218
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",219
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",220
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",221
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",222
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",223
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",224
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",225
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",226
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",227
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",228
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",229
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",230
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",231
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",232
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",233
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",234
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",235
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",236
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",237
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",238
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",239
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",240
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",241
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",242
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",243
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",244
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",245
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",246
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",247
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",248
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",249
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",250
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",251
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",252
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",253
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",254
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",255
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",256
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",257
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",258
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",259
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",260
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",261
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",262
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",263
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",264
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",265
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",266
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",267
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",268
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",269
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",270
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",271
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",272
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",273
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",274
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",275
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",276
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",277
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",278
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",279
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",280
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",281
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",282
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",283
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",284
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",285
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",286
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",287
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",288
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",289
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",290
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",291
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",292
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",293
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",294
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",295
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",296
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",297
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",298
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",299
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",300
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",301
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",302
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",303
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",304
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",305
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",306
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",307
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",308
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",309
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",310
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",311
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",312
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",313
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",314
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",315
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",316
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",317
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",318
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",319
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",320
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",321
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",322
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",323
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",324
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",325
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",326
7,"PIZZA",5000,"PIZZA","DISPONIBLE",7,"PIZZA",327
4,"REFRESCO",15000,"REFRESCO","AGOTADO",4,"REFRESCO",328
1,"POSTRE",28500,"POSTRE","DISPONIBLE",1,"POSTRE",329
6,"ALITAS",2000,"ALITAS","AGOTADO",6,"ALITAS",330
2,"HAMBURGUESA",3500,"HAMBURGUESA","DISPONIBLE",2,"HAMBURGUESA",331
7,"PIZZA",5000,"PIZZA","AGOTADO",7,"PIZZA",332
4,"REFRESCO",15000,"REFRESCO","DISPONIBLE",4,"REFRESCO",333
1,"POSTRE",28500,"POSTRE","AGOTADO",1,"POSTRE",334
6,"ALITAS",2000,"ALITAS","DISPONIBLE",6,"ALITAS",335
2,"HAMBURGUESA",3500,"HAMBURGUESA","AGOTADO",2,"HAMBURGUESA",336
