"IDINVENTARIO","IDPROVEEDOR","IDINGREDIENTE","CANTIDAD","ESTADO"
147,33,147,7,"AGOTADO"
148,34,148,4,"DISPONIBLE"
149,35,149,1,"AGOTADO"
150,36,150,6,"DISPONIBLE"
151,37,151,2,"DISPONIBLE"
152,38,152,7,"AGOTADO"
153,1,153,4,"DISPONIBLE"
154,2,154,1,"AGOTADO"
155,3,155,6,"DISPONIBLE"
156,4,156,2,"DISPONIBLE"
157,5,157,7,"AGOTADO"
158,6,158,4,"DISPONIBLE"
159,7,159,1,"AGOTADO"
160,8,160,6,"DISPONIBLE"
161,9,161,2,"DISPONIBLE"
162,10,162,7,"AGOTADO"
163,11,163,4,"DISPONIBLE"
164,12,164,1,"AGOTADO"
165,13,165,6,"DISPONIBLE"
166,14,166,2,"DISPONIBLE"
167,15,167,7,"AGOTADO"
168,16,168,4,"DISPONIBLE"
169,17,169,1,"AGOTADO"
170,18,170,6,"DISPONIBLE"
171,19,171,2,"DISPONIBLE"
172,20,172,7,"AGOTADO"
173,21,173,4,"DISPONIBLE"
174,22,174,1,"AGOTADO"
175,23,175,6,"DISPONIBLE"
176,24,176,2,"DISPONIBLE"
177,25,177,7,"AGOTADO"
178,26,178,4,"DISPONIBLE"
179,27,179,1,"AGOTADO"
180,28,180,6,"DISPONIBLE"
181,29,181,2,"DISPONIBLE"
182,30,182,7,"AGOTADO"
183,31,183,4,"DISPONIBLE"
184,32,184,1,"AGOTADO"
185,33,185,6,"DISPONIBLE"
186,34,186,2,"DISPONIBLE"
187,35,187,7,"AGOTADO"
188,36,188,4,"DISPONIBLE"
189,37,189,1,"AGOTADO"
190,38,190,6,"DISPONIBLE"
191,1,191,2,"DISPONIBLE"
192,2,192,7,"AGOTADO"
193,3,193,4,"DISPONIBLE"
194,4,194,1,"AGOTADO"
195,5,195,6,"DISPONIBLE"
196,6,196,2,"DISPONIBLE"
197,7,197,7,"AGOTADO"
198,8,198,4,"DISPONIBLE"
199,9,199,1,"AGOTADO"
200,10,200,6,"DISPONIBLE"
201,11,201,2,"DISPONIBLE"
202,12,202,7,"AGOTADO"
203,13,203,4,"DISPONIBLE"
204,14,204,1,"AGOTADO"
205,15,205,6,"DISPONIBLE"
206,16,206,2,"DISPONIBLE"
207,17,207,7,"AGOTADO"
208,18,208,4,"DISPONIBLE"
209,19,209,1,"AGOTADO"
210,20,210,6,"DISPONIBLE"
211,21,211,2,"DISPONIBLE"
212,22,212,7,"AGOTADO"
213,23,213,4,"DISPONIBLE"
214,24,214,1,"AGOTADO"
215,25,215,6,"DISPONIBLE"
216,26,216,2,"DISPONIBLE"
217,27,217,7,"AGOTADO"
218,28,218,4,"DISPONIBLE"
219,29,219,1,"AGOTADO"
220,30,220,6,"DISPONIBLE"
221,31,221,2,"DISPONIBLE"
222,32,222,7,"AGOTADO"
223,33,223,4,"DISPONIBLE"
224,34,224,1,"AGOTADO"
225,35,225,6,"DISPONIBLE"
226,36,226,2,"DISPONIBLE"
227,37,227,7,"AGOTADO"
228,38,228,4,"DISPONIBLE"
229,1,229,1,"AGOTADO"
230,2,230,6,"DISPONIBLE"
231,3,231,2,"DISPONIBLE"
232,4,232,7,"AGOTADO"
233,5,233,4,"DISPONIBLE"
234,6,234,1,"AGOTADO"
235,7,235,6,"DISPONIBLE"
236,8,236,2,"DISPONIBLE"
237,9,237,7,"AGOTADO"
238,10,238,4,"DISPONIBLE"
239,11,239,1,"AGOTADO"
240,12,240,6,"DISPONIBLE"
241,13,241,2,"DISPONIBLE"
242,14,242,7,"AGOTADO"
243,15,243,4,"DISPONIBLE"
244,16,244,1,"AGOTADO"
245,17,245,6,"DISPONIBLE"
246,18,246,2,"DISPONIBLE"
247,19,247,7,"AGOTADO"
248,20,248,4,"DISPONIBLE"
249,21,249,1,"AGOTADO"
250,22,250,6,"DISPONIBLE"
251,23,251,2,"DISPONIBLE"
252,24,252,7,"AGOTADO"
253,25,253,4,"DISPONIBLE"
254,26,254,1,"AGOTADO"
255,27,255,6,"DISPONIBLE"
256,28,256,2,"DISPONIBLE"
257,29,257,7,"AGOTADO"
258,30,258,4,"DISPONIBLE"
259,31,259,1,"AGOTADO"
260,32,260,6,"DISPONIBLE"
261,33,261,2,"DISPONIBLE"
262,34,262,7,"AGOTADO"
263,35,263,4,"DISPONIBLE"
264,36,264,1,"AGOTADO"
265,37,265,6,"DISPONIBLE"
266,38,266,2,"DISPONIBLE"
267,1,267,7,"AGOTADO"
268,2,268,4,"DISPONIBLE"
269,3,269,1,"AGOTADO"
270,4,270,6,"DISPONIBLE"
271,5,271,2,"DISPONIBLE"
272,6,272,7,"AGOTADO"
273,7,273,4,"DISPONIBLE"
274,8,274,1,"AGOTADO"
275,9,275,6,"DISPONIBLE"
276,10,276,2,"DISPONIBLE"
277,11,277,7,"AGOTADO"
278,12,278,4,"DISPONIBLE"
279,13,279,1,"AGOTADO"
280,14,280,6,"DISPONIBLE"
281,15,281,2,"DISPONIBLE"
282,16,282,7,"AGOTADO"
283,17,283,4,"DISPONIBLE"
284,18,284,1,"AGOTADO"
285,19,285,6,"DISPONIBLE"
286,20,286,2,"DISPONIBLE"
287,21,287,7,"AGOTADO"
288,22,288,4,"DISPONIBLE"
289,23,289,1,"AGOTADO"
290,24,290,6,"DISPONIBLE"
291,25,291,2,"DISPONIBLE"
292,26,292,7,"AGOTADO"
293,27,293,4,"DISPONIBLE"
294,28,294,1,"AGOTADO"
295,29,295,6,"DISPONIBLE"
296,30,296,2,"DISPONIBLE"
297,31,297,7,"AGOTADO"
298,32,298,4,"DISPONIBLE"
299,33,299,1,"AGOTADO"
300,34,300,6,"DISPONIBLE"
301,35,301,2,"DISPONIBLE"
302,36,302,7,"AGOTADO"
303,37,303,4,"DISPONIBLE"
304,38,304,1,"AGOTADO"
305,1,305,6,"DISPONIBLE"
306,2,306,2,"DISPONIBLE"
307,3,307,7,"AGOTADO"
308,4,308,4,"DISPONIBLE"
309,5,309,1,"AGOTADO"
310,6,310,6,"DISPONIBLE"
311,7,311,2,"DISPONIBLE"
312,8,312,7,"AGOTADO"
313,9,313,4,"DISPONIBLE"
314,10,314,1,"AGOTADO"
315,11,315,6,"DISPONIBLE"
316,12,316,2,"DISPONIBLE"
317,13,317,7,"AGOTADO"
318,14,318,4,"DISPONIBLE"
319,15,319,1,"AGOTADO"
320,16,320,6,"DISPONIBLE"
321,17,321,2,"DISPONIBLE"
322,18,322,7,"AGOTADO"
323,19,323,4,"DISPONIBLE"
324,20,324,1,"AGOTADO"
325,21,325,6,"DISPONIBLE"
326,22,326,2,"DISPONIBLE"
327,23,327,7,"AGOTADO"
328,24,328,4,"DISPONIBLE"
329,25,329,1,"AGOTADO"
330,26,330,6,"DISPONIBLE"
331,27,331,2,"DISPONIBLE"
332,28,332,7,"AGOTADO"
333,29,333,4,"DISPONIBLE"
334,30,334,1,"AGOTADO"
335,31,335,6,"DISPONIBLE"
336,32,336,2,"DISPONIBLE"
337,33,337,7,"AGOTADO"
338,34,338,4,"DISPONIBLE"
339,35,339,1,"AGOTADO"
340,36,340,6,"DISPONIBLE"
341,37,341,2,"DISPONIBLE"
342,38,342,7,"AGOTADO"
343,1,343,4,"DISPONIBLE"
344,2,344,1,"AGOTADO"
345,3,345,6,"DISPONIBLE"
346,4,346,2,"DISPONIBLE"
347,5,347,7,"AGOTADO"
348,6,348,4,"DISPONIBLE"
349,7,349,1,"AGOTADO"
350,8,350,6,"DISPONIBLE"
351,9,351,2,"DISPONIBLE"
352,10,352,7,"AGOTADO"
353,11,353,4,"DISPONIBLE"
354,12,354,1,"AGOTADO"
355,13,355,6,"DISPONIBLE"
356,14,356,2,"DISPONIBLE"
357,15,357,7,"AGOTADO"
358,16,358,4,"DISPONIBLE"
359,17,359,1,"AGOTADO"
360,18,360,6,"DISPONIBLE"
361,19,361,2,"DISPONIBLE"
362,20,362,7,"AGOTADO"
363,21,363,4,"DISPONIBLE"
364,22,364,1,"AGOTADO"
365,23,365,6,"DISPONIBLE"
366,24,366,2,"DISPONIBLE"
367,25,367,7,"AGOTADO"
368,26,368,4,"DISPONIBLE"
369,27,369,1,"AGOTADO"
370,28,370,6,"DISPONIBLE"
371,29,371,2,"DISPONIBLE"
372,30,372,7,"AGOTADO"
373,31,373,4,"DISPONIBLE"
374,32,374,1,"AGOTADO"
375,33,375,6,"DISPONIBLE"
376,34,376,2,"DISPONIBLE"
377,35,377,7,"AGOTADO"
378,36,378,4,"DISPONIBLE"
379,37,379,1,"AGOTADO"
380,38,380,6,"DISPONIBLE"
381,1,381,2,"DISPONIBLE"
382,2,382,7,"AGOTADO"
383,3,383,4,"DISPONIBLE"
384,4,384,1,"AGOTADO"
385,5,385,6,"DISPONIBLE"
386,6,386,2,"DISPONIBLE"
387,7,387,7,"AGOTADO"
388,8,388,4,"DISPONIBLE"
389,9,389,1,"AGOTADO"
390,10,390,6,"DISPONIBLE"
391,11,391,2,"DISPONIBLE"
392,12,392,7,"AGOTADO"
393,13,393,4,"DISPONIBLE"
394,14,394,1,"AGOTADO"
395,15,395,6,"DISPONIBLE"
396,16,396,2,"DISPONIBLE"
397,17,397,7,"AGOTADO"
398,18,398,4,"DISPONIBLE"
399,19,399,1,"AGOTADO"
400,20,400,6,"DISPONIBLE"
401,21,401,2,"DISPONIBLE"
402,22,402,7,"AGOTADO"
403,23,403,4,"DISPONIBLE"
404,24,404,1,"AGOTADO"
405,25,405,6,"DISPONIBLE"
406,26,406,2,"DISPONIBLE"
407,27,407,7,"AGOTADO"
408,28,408,4,"DISPONIBLE"
409,29,409,1,"AGOTADO"
410,30,410,6,"DISPONIBLE"
411,31,411,2,"DISPONIBLE"
412,32,412,7,"AGOTADO"
413,33,413,4,"DISPONIBLE"
414,34,414,1,"AGOTADO"
415,35,415,6,"DISPONIBLE"
416,36,416,2,"DISPONIBLE"
417,37,417,7,"AGOTADO"
418,38,418,4,"DISPONIBLE"
419,1,419,1,"AGOTADO"
420,2,420,6,"DISPONIBLE"
421,3,421,2,"DISPONIBLE"
422,4,422,7,"AGOTADO"
423,5,423,4,"DISPONIBLE"
424,6,424,1,"AGOTADO"
425,7,425,6,"DISPONIBLE"
426,8,426,2,"DISPONIBLE"
427,9,427,7,"AGOTADO"
428,10,428,4,"DISPONIBLE"
429,11,429,1,"AGOTADO"
430,12,430,6,"DISPONIBLE"
431,13,431,2,"DISPONIBLE"
432,14,432,7,"AGOTADO"
433,15,433,4,"DISPONIBLE"
434,16,434,1,"AGOTADO"
435,17,435,6,"DISPONIBLE"
436,18,436,2,"DISPONIBLE"
437,19,437,7,"AGOTADO"
438,20,438,4,"DISPONIBLE"
439,21,439,1,"AGOTADO"
440,22,440,6,"DISPONIBLE"
441,23,441,2,"DISPONIBLE"
442,24,442,7,"AGOTADO"
443,25,443,4,"DISPONIBLE"
444,26,444,1,"AGOTADO"
445,27,445,6,"DISPONIBLE"
446,28,446,2,"DISPONIBLE"
447,29,447,7,"AGOTADO"
448,30,448,4,"DISPONIBLE"
449,31,449,1,"AGOTADO"
450,32,450,6,"DISPONIBLE"
451,33,451,2,"DISPONIBLE"
452,34,452,7,"AGOTADO"
453,35,453,4,"DISPONIBLE"
454,36,454,1,"AGOTADO"
455,37,455,6,"DISPONIBLE"
456,38,456,2,"DISPONIBLE"
457,1,457,7,"AGOTADO"
458,2,458,4,"DISPONIBLE"
459,3,459,1,"AGOTADO"
460,4,460,6,"DISPONIBLE"
461,5,461,2,"DISPONIBLE"
462,6,462,7,"AGOTADO"
463,7,463,4,"DISPONIBLE"
464,8,464,1,"AGOTADO"
465,9,465,6,"DISPONIBLE"
466,10,466,2,"DISPONIBLE"
467,11,467,7,"AGOTADO"
468,12,468,4,"DISPONIBLE"
469,13,469,1,"AGOTADO"
470,14,470,6,"DISPONIBLE"
471,15,471,2,"DISPONIBLE"
472,16,472,7,"AGOTADO"
473,17,473,4,"DISPONIBLE"
474,18,474,1,"AGOTADO"
475,19,475,6,"DISPONIBLE"
476,20,476,2,"DISPONIBLE"
477,21,477,7,"AGOTADO"
478,22,478,4,"DISPONIBLE"
479,23,479,1,"AGOTADO"
480,24,480,6,"DISPONIBLE"
481,25,481,2,"DISPONIBLE"
482,26,482,7,"AGOTADO"
483,27,483,4,"DISPONIBLE"
484,28,484,1,"AGOTADO"
485,29,485,6,"DISPONIBLE"
486,30,486,2,"DISPONIBLE"
487,31,487,7,"AGOTADO"
488,32,488,4,"DISPONIBLE"
489,33,489,1,"AGOTADO"
490,34,490,6,"DISPONIBLE"
491,35,491,2,"DISPONIBLE"
492,36,492,7,"AGOTADO"
493,37,493,4,"DISPONIBLE"
494,38,494,1,"AGOTADO"
495,1,495,6,"DISPONIBLE"
496,2,496,2,"DISPONIBLE"
497,3,497,7,"AGOTADO"
498,4,498,4,"DISPONIBLE"
499,5,499,1,"AGOTADO"
500,6,500,6,"DISPONIBLE"
501,7,501,2,"DISPONIBLE"
502,8,502,7,"AGOTADO"
503,9,503,4,"DISPONIBLE"
504,10,504,1,"AGOTADO"
505,11,505,6,"DISPONIBLE"
506,12,506,2,"DISPONIBLE"
507,13,507,7,"AGOTADO"
508,14,508,4,"DISPONIBLE"
509,15,509,1,"AGOTADO"
510,16,510,6,"DISPONIBLE"
511,17,511,2,"DISPONIBLE"
512,18,512,7,"AGOTADO"
513,19,513,4,"DISPONIBLE"
514,20,514,1,"AGOTADO"
515,21,515,6,"DISPONIBLE"
516,22,516,2,"DISPONIBLE"
517,23,517,7,"AGOTADO"
518,24,518,4,"DISPONIBLE"
519,25,519,1,"AGOTADO"
520,26,520,6,"DISPONIBLE"
521,27,521,2,"DISPONIBLE"
522,28,522,7,"AGOTADO"
523,29,523,4,"DISPONIBLE"
524,30,524,1,"AGOTADO"
525,31,525,6,"DISPONIBLE"
526,32,526,2,"DISPONIBLE"
527,33,527,7,"AGOTADO"
528,34,528,4,"DISPONIBLE"
529,35,529,1,"AGOTADO"
530,36,530,6,"DISPONIBLE"
531,37,531,2,"DISPONIBLE"
532,38,532,7,"AGOTADO"
533,1,533,4,"DISPONIBLE"
534,2,534,1,"AGOTADO"
535,3,535,6,"DISPONIBLE"
536,4,536,2,"DISPONIBLE"
537,5,537,7,"AGOTADO"
538,6,538,4,"DISPONIBLE"
539,7,539,1,"AGOTADO"
540,8,540,6,"DISPONIBLE"
541,9,541,2,"DISPONIBLE"
542,10,542,7,"AGOTADO"
543,11,543,4,"DISPONIBLE"
544,12,544,1,"AGOTADO"
545,13,545,6,"DISPONIBLE"
546,14,546,2,"DISPONIBLE"
547,15,547,7,"AGOTADO"
548,16,548,4,"DISPONIBLE"
549,17,549,1,"AGOTADO"
550,18,550,6,"DISPONIBLE"
551,19,551,2,"DISPONIBLE"
552,20,552,7,"AGOTADO"
553,21,553,4,"DISPONIBLE"
554,22,554,1,"AGOTADO"
555,23,555,6,"DISPONIBLE"
556,24,556,2,"DISPONIBLE"
557,25,557,7,"AGOTADO"
558,26,558,4,"DISPONIBLE"
559,27,559,1,"AGOTADO"
560,28,560,6,"DISPONIBLE"
561,29,561,2,"DISPONIBLE"
562,30,562,7,"AGOTADO"
563,31,563,4,"DISPONIBLE"
564,32,564,1,"AGOTADO"
565,33,565,6,"DISPONIBLE"
566,34,566,2,"DISPONIBLE"
567,35,567,7,"AGOTADO"
568,36,568,4,"DISPONIBLE"
569,37,569,1,"AGOTADO"
570,38,570,6,"DISPONIBLE"
571,1,571,2,"DISPONIBLE"
572,2,572,7,"AGOTADO"
573,3,573,4,"DISPONIBLE"
574,4,574,1,"AGOTADO"
575,5,575,6,"DISPONIBLE"
576,6,576,2,"DISPONIBLE"
577,7,577,7,"AGOTADO"
578,8,578,4,"DISPONIBLE"
579,9,579,1,"AGOTADO"
580,10,580,6,"DISPONIBLE"
581,11,581,2,"DISPONIBLE"
582,12,582,7,"AGOTADO"
583,13,583,4,"DISPONIBLE"
584,14,584,1,"AGOTADO"
585,15,585,6,"DISPONIBLE"
586,16,586,2,"DISPONIBLE"
587,17,587,7,"AGOTADO"
588,18,588,4,"DISPONIBLE"
589,19,589,1,"AGOTADO"
590,20,590,6,"DISPONIBLE"
591,21,591,2,"DISPONIBLE"
592,22,592,7,"AGOTADO"
593,23,593,4,"DISPONIBLE"
594,24,594,1,"AGOTADO"
595,25,595,6,"DISPONIBLE"
596,26,596,2,"DISPONIBLE"
597,27,597,7,"AGOTADO"
598,28,598,4,"DISPONIBLE"
599,29,599,1,"AGOTADO"
600,30,600,6,"DISPONIBLE"
601,31,601,2,"DISPONIBLE"
602,32,602,7,"AGOTADO"
603,33,603,4,"DISPONIBLE"
604,34,604,1,"AGOTADO"
605,35,605,6,"DISPONIBLE"
606,36,606,2,"DISPONIBLE"
607,37,607,7,"AGOTADO"
608,38,608,4,"DISPONIBLE"
609,1,609,1,"AGOTADO"
610,2,610,6,"DISPONIBLE"
611,3,611,2,"DISPONIBLE"
612,4,612,7,"AGOTADO"
613,5,613,4,"DISPONIBLE"
614,6,614,1,"AGOTADO"
615,7,615,6,"DISPONIBLE"
616,8,616,2,"DISPONIBLE"
617,9,617,7,"AGOTADO"
618,10,618,4,"DISPONIBLE"
619,11,619,1,"AGOTADO"
620,12,620,6,"DISPONIBLE"
621,13,621,2,"DISPONIBLE"
622,14,622,7,"AGOTADO"
623,15,623,4,"DISPONIBLE"
624,16,624,1,"AGOTADO"
625,17,625,6,"DISPONIBLE"
626,18,626,2,"DISPONIBLE"
627,19,627,7,"AGOTADO"
628,20,628,4,"DISPONIBLE"
629,21,629,1,"AGOTADO"
630,22,630,6,"DISPONIBLE"
631,23,631,2,"DISPONIBLE"
632,24,632,7,"AGOTADO"
633,25,633,4,"DISPONIBLE"
634,26,634,1,"AGOTADO"
635,27,635,6,"DISPONIBLE"
636,28,636,2,"DISPONIBLE"
637,29,637,7,"AGOTADO"
638,30,638,4,"DISPONIBLE"
639,31,639,1,"AGOTADO"
640,32,640,6,"DISPONIBLE"
641,33,641,2,"DISPONIBLE"
642,34,642,7,"AGOTADO"
643,35,643,4,"DISPONIBLE"
644,36,644,1,"AGOTADO"
645,37,645,6,"DISPONIBLE"
646,38,646,2,"DISPONIBLE"
647,1,647,7,"AGOTADO"
648,2,648,4,"DISPONIBLE"
649,3,649,1,"AGOTADO"
650,4,650,6,"DISPONIBLE"
651,5,651,2,"DISPONIBLE"
652,6,652,7,"AGOTADO"
653,7,653,4,"DISPONIBLE"
654,8,654,1,"AGOTADO"
655,9,655,6,"DISPONIBLE"
656,10,656,2,"DISPONIBLE"
657,11,657,7,"AGOTADO"
658,12,658,4,"DISPONIBLE"
659,13,659,1,"AGOTADO"
660,14,660,6,"DISPONIBLE"
661,15,661,2,"DISPONIBLE"
662,16,662,7,"AGOTADO"
663,17,663,4,"DISPONIBLE"
664,18,664,1,"AGOTADO"
665,19,665,6,"DISPONIBLE"
666,20,666,2,"DISPONIBLE"
667,21,667,7,"AGOTADO"
668,22,668,4,"DISPONIBLE"
669,23,669,1,"AGOTADO"
670,24,670,6,"DISPONIBLE"
671,25,671,2,"DISPONIBLE"
672,26,672,7,"AGOTADO"
673,27,673,4,"DISPONIBLE"
674,28,674,1,"AGOTADO"
675,29,675,6,"DISPONIBLE"
676,30,676,2,"DISPONIBLE"
677,31,677,7,"AGOTADO"
678,32,678,4,"DISPONIBLE"
679,33,679,1,"AGOTADO"
680,34,680,6,"DISPONIBLE"
681,35,681,2,"DISPONIBLE"
682,36,682,7,"AGOTADO"
683,37,683,4,"DISPONIBLE"
684,38,684,1,"AGOTADO"
685,1,685,6,"DISPONIBLE"
686,2,686,2,"DISPONIBLE"
687,3,687,7,"AGOTADO"
688,4,688,4,"DISPONIBLE"
689,5,689,1,"AGOTADO"
690,6,690,6,"DISPONIBLE"
691,7,691,2,"DISPONIBLE"
692,8,692,7,"AGOTADO"
693,9,693,4,"DISPONIBLE"
694,10,694,1,"AGOTADO"
695,11,695,6,"DISPONIBLE"
696,12,696,2,"DISPONIBLE"
697,13,697,7,"AGOTADO"
698,14,698,4,"DISPONIBLE"
699,15,699,1,"AGOTADO"
700,16,700,6,"DISPONIBLE"
701,17,701,2,"DISPONIBLE"
702,18,702,7,"AGOTADO"
703,19,703,4,"DISPONIBLE"
704,20,704,1,"AGOTADO"
705,21,705,6,"DISPONIBLE"
706,22,706,2,"DISPONIBLE"
707,23,707,7,"AGOTADO"
708,24,708,4,"DISPONIBLE"
709,25,709,1,"AGOTADO"
710,26,710,6,"DISPONIBLE"
711,27,711,2,"DISPONIBLE"
712,28,712,7,"AGOTADO"
713,29,713,4,"DISPONIBLE"
714,30,714,1,"AGOTADO"
715,31,715,6,"DISPONIBLE"
716,32,716,2,"DISPONIBLE"
717,33,717,7,"AGOTADO"
718,34,718,4,"DISPONIBLE"
719,35,719,1,"AGOTADO"
720,36,720,6,"DISPONIBLE"
721,37,721,2,"DISPONIBLE"
722,38,722,7,"AGOTADO"
723,1,723,4,"DISPONIBLE"
724,2,724,1,"AGOTADO"
725,3,725,6,"DISPONIBLE"
726,4,726,2,"DISPONIBLE"
727,5,727,7,"AGOTADO"
728,6,728,4,"DISPONIBLE"
729,7,729,1,"AGOTADO"
730,8,730,6,"DISPONIBLE"
731,9,731,2,"DISPONIBLE"
732,10,732,7,"AGOTADO"
733,11,733,4,"DISPONIBLE"
734,12,734,1,"AGOTADO"
735,13,735,6,"DISPONIBLE"
736,14,736,2,"DISPONIBLE"
737,15,737,7,"AGOTADO"
738,16,738,4,"DISPONIBLE"
739,17,739,1,"AGOTADO"
740,18,740,6,"DISPONIBLE"
741,19,741,2,"DISPONIBLE"
742,20,742,7,"AGOTADO"
743,21,743,4,"DISPONIBLE"
744,22,744,1,"AGOTADO"
745,23,745,6,"DISPONIBLE"
746,24,746,2,"DISPONIBLE"
747,25,747,7,"AGOTADO"
748,26,748,4,"DISPONIBLE"
749,27,749,1,"AGOTADO"
750,28,750,6,"DISPONIBLE"
751,29,751,2,"DISPONIBLE"
752,30,752,7,"AGOTADO"
753,31,753,4,"DISPONIBLE"
754,32,754,1,"AGOTADO"
755,33,755,6,"DISPONIBLE"
756,34,756,2,"DISPONIBLE"
757,35,757,7,"AGOTADO"
758,36,758,4,"DISPONIBLE"
759,37,759,1,"AGOTADO"
760,38,760,6,"DISPONIBLE"
761,1,761,2,"DISPONIBLE"
762,2,762,7,"AGOTADO"
763,3,763,4,"DISPONIBLE"
764,4,764,1,"AGOTADO"
