"IDCARRITO","IDPRODUCTO","ESTADOCOMPRA","CANTIDAD"
240,6,"cancelado",6
241,2,"cancelado",2
242,7,"pendiente",7
243,4,"cancelado",4
244,1,"pendiente",1
245,6,"cancelado",6
246,2,"cancelado",2
247,7,"pendiente",7
248,4,"cancelado",4
249,1,"pendiente",1
250,6,"cancelado",6
251,2,"cancelado",2
252,7,"pendiente",7
253,4,"cancelado",4
254,1,"pendiente",1
255,6,"cancelado",6
256,2,"cancelado",2
257,7,"pendiente",7
258,4,"cancelado",4
259,1,"pendiente",1
260,6,"cancelado",6
261,2,"cancelado",2
262,7,"pendiente",7
263,4,"cancelado",4
264,1,"pendiente",1
265,6,"cancelado",6
266,2,"cancelado",2
267,7,"pendiente",7
268,4,"cancelado",4
269,1,"pendiente",1
270,6,"cancelado",6
271,2,"cancelado",2
272,7,"pendiente",7
273,4,"cancelado",4
274,1,"pendiente",1
275,6,"cancelado",6
276,2,"cancelado",2
277,7,"pendiente",7
278,4,"cancelado",4
279,1,"pendiente",1
280,6,"cancelado",6
281,2,"cancelado",2
282,7,"pendiente",7
283,4,"cancelado",4
284,1,"pendiente",1
285,6,"cancelado",6
286,2,"cancelado",2
287,7,"pendiente",7
288,4,"cancelado",4
289,1,"pendiente",1
290,6,"cancelado",6
291,2,"cancelado",2
292,7,"pendiente",7
293,4,"cancelado",4
294,1,"pendiente",1
295,6,"cancelado",6
296,2,"cancelado",2
297,7,"pendiente",7
298,4,"cancelado",4
299,1,"pendiente",1
300,6,"cancelado",6
301,2,"cancelado",2
302,7,"pendiente",7
303,4,"cancelado",4
304,1,"pendiente",1
305,6,"cancelado",6
306,2,"cancelado",2
307,7,"pendiente",7
308,4,"cancelado",4
309,1,"pendiente",1
310,6,"cancelado",6
311,2,"cancelado",2
312,7,"pendiente",7
313,4,"cancelado",4
314,1,"pendiente",1
315,6,"cancelado",6
316,2,"cancelado",2
317,7,"pendiente",7
318,4,"cancelado",4
319,1,"pendiente",1
320,6,"cancelado",6
321,2,"cancelado",2
322,7,"pendiente",7
323,4,"cancelado",4
324,1,"pendiente",1
325,6,"cancelado",6
326,2,"cancelado",2
327,7,"pendiente",7
328,4,"cancelado",4
329,1,"pendiente",1
330,6,"cancelado",6
331,2,"cancelado",2
332,7,"pendiente",7
333,4,"cancelado",4
334,1,"pendiente",1
335,6,"cancelado",6
336,2,"cancelado",2
337,7,"pendiente",7
338,4,"cancelado",4
339,1,"pendiente",1
340,6,"cancelado",6
341,2,"cancelado",2
342,7,"pendiente",7
343,4,"cancelado",4
344,1,"pendiente",1
345,6,"cancelado",6
346,2,"cancelado",2
347,7,"pendiente",7
348,4,"cancelado",4
349,1,"pendiente",1
350,6,"cancelado",6
351,2,"cancelado",2
352,7,"pendiente",7
353,4,"cancelado",4
354,1,"pendiente",1
355,6,"cancelado",6
356,2,"cancelado",2
357,7,"pendiente",7
358,4,"cancelado",4
359,1,"pendiente",1
360,6,"cancelado",6
361,2,"cancelado",2
362,7,"pendiente",7
363,4,"cancelado",4
364,1,"pendiente",1
365,6,"cancelado",6
366,2,"cancelado",2
367,7,"pendiente",7
368,4,"cancelado",4
369,1,"pendiente",1
370,6,"cancelado",6
371,2,"cancelado",2
372,7,"pendiente",7
373,4,"cancelado",4
374,1,"pendiente",1
375,6,"cancelado",6
376,2,"cancelado",2
377,7,"pendiente",7
378,4,"cancelado",4
379,1,"pendiente",1
380,6,"cancelado",6
381,2,"cancelado",2
382,7,"pendiente",7
383,4,"cancelado",4
384,1,"pendiente",1
385,6,"cancelado",6
386,2,"cancelado",2
387,7,"pendiente",7
388,4,"cancelado",4
389,1,"pendiente",1
390,6,"cancelado",6
391,2,"cancelado",2
392,7,"pendiente",7
393,4,"cancelado",4
394,1,"pendiente",1
395,6,"cancelado",6
396,2,"cancelado",2
397,7,"pendiente",7
398,4,"cancelado",4
399,1,"pendiente",1
400,6,"cancelado",6
401,2,"cancelado",2
402,7,"pendiente",7
403,4,"cancelado",4
404,1,"pendiente",1
405,6,"cancelado",6
406,2,"cancelado",2
407,7,"pendiente",7
408,4,"cancelado",4
409,1,"pendiente",1
410,6,"cancelado",6
411,2,"cancelado",2
412,7,"pendiente",7
413,4,"cancelado",4
414,1,"pendiente",1
415,6,"cancelado",6
416,2,"cancelado",2
417,7,"pendiente",7
418,4,"cancelado",4
419,1,"pendiente",1
420,6,"cancelado",6
421,2,"cancelado",2
422,7,"pendiente",7
423,4,"cancelado",4
424,1,"pendiente",1
425,6,"cancelado",6
426,2,"cancelado",2
427,7,"pendiente",7
428,4,"cancelado",4
429,1,"pendiente",1
430,6,"cancelado",6
431,2,"cancelado",2
432,7,"pendiente",7
433,4,"cancelado",4
434,1,"pendiente",1
435,6,"cancelado",6
436,2,"cancelado",2
437,7,"pendiente",7
438,4,"cancelado",4
439,1,"pendiente",1
440,6,"cancelado",6
441,2,"cancelado",2
442,7,"pendiente",7
443,4,"cancelado",4
444,1,"pendiente",1
445,6,"cancelado",6
446,2,"cancelado",2
447,7,"pendiente",7
448,4,"cancelado",4
449,1,"pendiente",1
450,6,"cancelado",6
451,2,"cancelado",2
452,7,"pendiente",7
453,4,"cancelado",4
454,1,"pendiente",1
455,6,"cancelado",6
456,2,"cancelado",2
457,7,"pendiente",7
458,4,"cancelado",4
459,1,"pendiente",1
460,6,"cancelado",6
461,2,"cancelado",2
462,7,"pendiente",7
463,4,"cancelado",4
464,1,"pendiente",1
465,6,"cancelado",6
466,2,"cancelado",2
467,7,"pendiente",7
468,4,"cancelado",4
469,1,"pendiente",1
470,6,"cancelado",6
471,2,"cancelado",2
472,7,"pendiente",7
473,4,"cancelado",4
474,1,"pendiente",1
475,6,"cancelado",6
476,2,"cancelado",2
477,7,"pendiente",7
478,4,"cancelado",4
479,1,"pendiente",1
480,6,"cancelado",6
481,2,"cancelado",2
482,7,"pendiente",7
483,4,"cancelado",4
484,1,"pendiente",1
485,6,"cancelado",6
486,2,"cancelado",2
487,7,"pendiente",7
488,4,"cancelado",4
489,1,"pendiente",1
490,6,"cancelado",6
491,2,"cancelado",2
492,7,"pendiente",7
493,4,"cancelado",4
494,1,"pendiente",1
495,6,"cancelado",6
496,2,"cancelado",2
497,7,"pendiente",7
498,4,"cancelado",4
499,1,"pendiente",1
500,6,"cancelado",6
501,2,"cancelado",2
502,7,"pendiente",7
503,4,"cancelado",4
504,1,"pendiente",1
505,6,"cancelado",6
506,2,"cancelado",2
507,7,"pendiente",7
508,4,"cancelado",4
509,1,"pendiente",1
510,6,"cancelado",6
511,2,"cancelado",2
512,7,"pendiente",7
513,4,"cancelado",4
514,1,"pendiente",1
515,6,"cancelado",6
516,2,"cancelado",2
517,7,"pendiente",7
518,4,"cancelado",4
519,1,"pendiente",1
520,6,"cancelado",6
521,2,"cancelado",2
522,7,"pendiente",7
523,4,"cancelado",4
524,1,"pendiente",1
525,6,"cancelado",6
526,2,"cancelado",2
527,7,"pendiente",7
528,4,"cancelado",4
529,1,"pendiente",1
530,6,"cancelado",6
531,2,"cancelado",2
532,7,"pendiente",7
533,4,"cancelado",4
534,1,"pendiente",1
535,6,"cancelado",6
536,2,"cancelado",2
537,7,"pendiente",7
538,4,"cancelado",4
539,1,"pendiente",1
540,6,"cancelado",6
541,2,"cancelado",2
542,7,"pendiente",7
543,4,"cancelado",4
544,1,"pendiente",1
545,6,"cancelado",6
546,2,"cancelado",2
547,7,"pendiente",7
548,4,"cancelado",4
549,1,"pendiente",1
550,6,"cancelado",6
551,2,"cancelado",2
552,7,"pendiente",7
553,4,"cancelado",4
554,1,"pendiente",1
555,6,"cancelado",6
556,2,"cancelado",2
557,7,"pendiente",7
558,4,"cancelado",4
559,1,"pendiente",1
560,6,"cancelado",6
561,2,"cancelado",2
562,7,"pendiente",7
563,4,"cancelado",4
564,1,"pendiente",1
565,6,"cancelado",6
566,2,"cancelado",2
567,7,"pendiente",7
568,4,"cancelado",4
569,1,"pendiente",1
570,6,"cancelado",6
571,2,"cancelado",2
572,7,"pendiente",7
573,4,"cancelado",4
574,1,"pendiente",1
575,6,"cancelado",6
576,2,"cancelado",2
577,7,"pendiente",7
578,4,"cancelado",4
579,1,"pendiente",1
580,6,"cancelado",6
581,2,"cancelado",2
582,7,"pendiente",7
583,4,"cancelado",4
584,1,"pendiente",1
585,6,"cancelado",6
586,2,"cancelado",2
587,7,"pendiente",7
588,4,"cancelado",4
589,1,"pendiente",1
590,6,"cancelado",6
591,2,"cancelado",2
592,7,"pendiente",7
593,4,"cancelado",4
594,1,"pendiente",1
595,6,"cancelado",6
596,2,"cancelado",2
597,7,"pendiente",7
598,4,"cancelado",4
599,1,"pendiente",1
600,6,"cancelado",6
601,2,"cancelado",2
602,7,"pendiente",7
603,4,"cancelado",4
604,1,"pendiente",1
605,6,"cancelado",6
606,2,"cancelado",2
607,7,"pendiente",7
608,4,"cancelado",4
609,1,"pendiente",1
610,6,"cancelado",6
611,2,"cancelado",2
612,7,"pendiente",7
613,4,"cancelado",4
614,1,"pendiente",1
615,6,"cancelado",6
616,2,"cancelado",2
617,7,"pendiente",7
618,4,"cancelado",4
619,1,"pendiente",1
620,6,"cancelado",6
621,2,"cancelado",2
622,7,"pendiente",7
623,4,"cancelado",4
624,1,"pendiente",1
625,6,"cancelado",6
626,2,"cancelado",2
627,7,"pendiente",7
628,4,"cancelado",4
629,1,"pendiente",1
630,6,"cancelado",6
631,2,"cancelado",2
632,7,"pendiente",7
633,4,"cancelado",4
634,1,"pendiente",1
635,6,"cancelado",6
636,2,"cancelado",2
637,7,"pendiente",7
638,4,"cancelado",4
639,1,"pendiente",1
640,6,"cancelado",6
641,2,"cancelado",2
642,7,"pendiente",7
643,4,"cancelado",4
644,1,"pendiente",1
645,6,"cancelado",6
646,2,"cancelado",2
647,7,"pendiente",7
648,4,"cancelado",4
649,1,"pendiente",1
650,6,"cancelado",6
651,2,"cancelado",2
652,7,"pendiente",7
653,4,"cancelado",4
654,1,"pendiente",1
655,6,"cancelado",6
656,2,"cancelado",2
657,7,"pendiente",7
658,4,"cancelado",4
659,1,"pendiente",1
660,6,"cancelado",6
661,2,"cancelado",2
662,7,"pendiente",7
663,4,"cancelado",4
664,1,"pendiente",1
665,6,"cancelado",6
666,2,"cancelado",2
667,7,"pendiente",7
668,4,"cancelado",4
669,1,"pendiente",1
670,6,"cancelado",6
671,2,"cancelado",2
672,7,"pendiente",7
673,4,"cancelado",4
674,1,"pendiente",1
675,6,"cancelado",6
676,2,"cancelado",2
677,7,"pendiente",7
678,4,"cancelado",4
679,1,"pendiente",1
680,6,"cancelado",6
681,2,"cancelado",2
682,7,"pendiente",7
683,4,"cancelado",4
684,1,"pendiente",1
685,6,"cancelado",6
686,2,"cancelado",2
687,7,"pendiente",7
688,4,"cancelado",4
689,1,"pendiente",1
690,6,"cancelado",6
691,2,"cancelado",2
692,7,"pendiente",7
693,4,"cancelado",4
694,1,"pendiente",1
695,6,"cancelado",6
696,2,"cancelado",2
697,7,"pendiente",7
698,4,"cancelado",4
699,1,"pendiente",1
700,6,"cancelado",6
701,2,"cancelado",2
702,7,"pendiente",7
703,4,"cancelado",4
704,1,"pendiente",1
705,6,"cancelado",6
706,2,"cancelado",2
707,7,"pendiente",7
708,4,"cancelado",4
709,1,"pendiente",1
710,6,"cancelado",6
711,2,"cancelado",2
712,7,"pendiente",7
713,4,"cancelado",4
714,1,"pendiente",1
715,6,"cancelado",6
716,2,"cancelado",2
717,7,"pendiente",7
718,4,"cancelado",4
719,1,"pendiente",1
720,6,"cancelado",6
721,2,"cancelado",2
722,7,"pendiente",7
723,4,"cancelado",4
724,1,"pendiente",1
725,6,"cancelado",6
726,2,"cancelado",2
727,7,"pendiente",7
728,4,"cancelado",4
729,1,"pendiente",1
730,6,"cancelado",6
731,2,"cancelado",2
732,7,"pendiente",7
733,4,"cancelado",4
734,1,"pendiente",1
735,6,"cancelado",6
736,2,"cancelado",2
737,7,"pendiente",7
738,4,"cancelado",4
739,1,"pendiente",1
740,6,"cancelado",6
741,2,"cancelado",2
742,7,"pendiente",7
743,4,"cancelado",4
744,1,"pendiente",1
745,6,"cancelado",6
746,2,"cancelado",2
747,7,"pendiente",7
748,4,"cancelado",4
749,1,"pendiente",1
750,6,"cancelado",6
751,2,"cancelado",2
752,7,"pendiente",7
753,4,"cancelado",4
754,1,"pendiente",1
755,6,"cancelado",6
756,2,"cancelado",2
757,7,"pendiente",7
758,4,"cancelado",4
759,1,"pendiente",1
760,6,"cancelado",6
761,2,"cancelado",2
762,7,"pendiente",7
763,4,"cancelado",4
764,1,"pendiente",1
765,6,"cancelado",6
766,2,"cancelado",2
767,7,"pendiente",7
768,4,"cancelado",4
769,1,"pendiente",1
770,6,"cancelado",6
771,2,"cancelado",2
772,7,"pendiente",7
773,4,"cancelado",4
774,1,"pendiente",1
775,6,"cancelado",6
776,2,"cancelado",2
777,7,"pendiente",7
778,4,"cancelado",4
779,1,"pendiente",1
780,6,"cancelado",6
781,2,"cancelado",2
782,7,"pendiente",7
783,4,"cancelado",4
784,1,"pendiente",1
785,6,"cancelado",6
786,2,"cancelado",2
787,7,"pendiente",7
788,4,"cancelado",4
789,1,"pendiente",1
790,6,"cancelado",6
791,2,"cancelado",2
792,7,"pendiente",7
793,4,"cancelado",4
794,1,"pendiente",1
795,6,"cancelado",6
796,2,"cancelado",2
797,7,"pendiente",7
798,4,"cancelado",4
799,1,"pendiente",1
800,6,"cancelado",6
801,2,"cancelado",2
802,7,"pendiente",7
803,4,"cancelado",4
804,1,"pendiente",1
805,6,"cancelado",6
806,2,"cancelado",2
807,7,"pendiente",7
808,4,"cancelado",4
809,1,"pendiente",1
810,6,"cancelado",6
811,2,"cancelado",2
812,7,"pendiente",7
813,4,"cancelado",4
814,1,"pendiente",1
815,6,"cancelado",6
816,2,"cancelado",2
817,7,"pendiente",7
818,4,"cancelado",4
819,1,"pendiente",1
820,6,"cancelado",6
821,2,"cancelado",2
822,7,"pendiente",7
823,4,"cancelado",4
824,1,"pendiente",1
825,6,"cancelado",6
826,2,"cancelado",2
827,7,"pendiente",7
828,4,"cancelado",4
829,1,"pendiente",1
830,6,"cancelado",6
831,2,"cancelado",2
832,7,"pendiente",7
833,4,"cancelado",4
834,1,"pendiente",1
835,6,"cancelado",6
836,2,"cancelado",2
837,7,"pendiente",7
838,4,"cancelado",4
839,1,"pendiente",1
840,6,"cancelado",6
841,2,"cancelado",2
842,7,"pendiente",7
843,4,"cancelado",4
844,1,"pendiente",1
845,6,"cancelado",6
846,2,"cancelado",2
847,7,"pendiente",7
848,4,"cancelado",4
849,1,"pendiente",1
850,6,"cancelado",6
851,2,"cancelado",2
852,7,"pendiente",7
853,4,"cancelado",4
854,1,"pendiente",1
855,6,"cancelado",6
856,2,"cancelado",2
857,7,"pendiente",7
858,4,"cancelado",4
859,1,"pendiente",1
860,6,"cancelado",6
861,2,"cancelado",2
862,7,"pendiente",7
863,4,"cancelado",4
864,1,"pendiente",1
865,6,"cancelado",6
866,2,"cancelado",2
867,7,"pendiente",7
868,4,"cancelado",4
869,1,"pendiente",1
870,6,"cancelado",6
871,2,"cancelado",2
872,7,"pendiente",7
873,4,"cancelado",4
874,1,"pendiente",1
875,6,"cancelado",6
876,2,"cancelado",2
877,7,"pendiente",7
878,4,"cancelado",4
879,1,"pendiente",1
880,6,"cancelado",6
881,2,"cancelado",2
882,7,"pendiente",7
883,4,"cancelado",4
884,1,"pendiente",1
885,6,"cancelado",6
886,2,"cancelado",2
887,7,"pendiente",7
888,4,"cancelado",4
889,1,"pendiente",1
890,6,"cancelado",6
891,2,"cancelado",2
892,7,"pendiente",7
893,4,"cancelado",4
894,1,"pendiente",1
895,6,"cancelado",6
896,2,"cancelado",2
897,7,"pendiente",7
898,4,"cancelado",4
899,1,"pendiente",1
900,6,"cancelado",6
901,2,"cancelado",2
902,7,"pendiente",7
903,4,"cancelado",4
904,1,"pendiente",1
905,6,"cancelado",6
906,2,"cancelado",2
907,7,"pendiente",7
908,4,"cancelado",4
909,1,"pendiente",1
910,6,"cancelado",6
911,2,"cancelado",2
912,7,"pendiente",7
913,4,"cancelado",4
914,1,"pendiente",1
915,6,"cancelado",6
916,2,"cancelado",2
917,7,"pendiente",7
918,4,"cancelado",4
919,1,"pendiente",1
920,6,"cancelado",6
921,2,"cancelado",2
922,7,"pendiente",7
923,4,"cancelado",4
924,1,"pendiente",1
925,6,"cancelado",6
926,2,"cancelado",2
927,7,"pendiente",7
928,4,"cancelado",4
929,1,"pendiente",1
930,6,"cancelado",6
931,2,"cancelado",2
932,7,"pendiente",7
933,4,"cancelado",4
934,1,"pendiente",1
935,6,"cancelado",6
936,2,"cancelado",2
937,7,"pendiente",7
938,4,"cancelado",4
939,1,"pendiente",1
940,6,"cancelado",6
941,2,"cancelado",2
942,7,"pendiente",7
943,4,"cancelado",4
944,1,"pendiente",1
945,6,"cancelado",6
946,2,"cancelado",2
947,7,"pendiente",7
948,4,"cancelado",4
949,1,"pendiente",1
950,6,"cancelado",6
951,2,"cancelado",2
952,7,"pendiente",7
953,4,"cancelado",4
954,1,"pendiente",1
955,6,"cancelado",6
956,2,"cancelado",2
957,7,"pendiente",7
958,4,"cancelado",4
959,1,"pendiente",1
960,6,"cancelado",6
961,2,"cancelado",2
962,7,"pendiente",7
963,4,"cancelado",4
964,1,"pendiente",1
965,6,"cancelado",6
966,2,"cancelado",2
967,7,"pendiente",7
968,4,"cancelado",4
969,1,"pendiente",1
970,6,"cancelado",6
971,2,"cancelado",2
972,7,"pendiente",7
973,4,"cancelado",4
974,1,"pendiente",1
975,6,"cancelado",6
976,2,"cancelado",2
977,7,"pendiente",7
978,4,"cancelado",4
979,1,"pendiente",1
980,6,"cancelado",6
981,2,"cancelado",2
982,7,"pendiente",7
983,4,"cancelado",4
984,1,"pendiente",1
985,6,"cancelado",6
986,2,"cancelado",2
987,7,"pendiente",7
988,4,"cancelado",4
989,1,"pendiente",1
990,6,"cancelado",6
991,2,"cancelado",2
992,7,"pendiente",7
993,4,"cancelado",4
994,1,"pendiente",1
995,6,"cancelado",6
996,2,"cancelado",2
997,7,"pendiente",7
998,4,"cancelado",4
999,1,"pendiente",1
1000,6,"cancelado",6
1001,2,"cancelado",2
1002,7,"pendiente",7
1003,4,"cancelado",4
1004,1,"pendiente",1
1005,6,"cancelado",6
1006,2,"cancelado",2
1007,7,"pendiente",7
1008,4,"cancelado",4
1009,1,"pendiente",1
1010,6,"cancelado",6
1011,2,"cancelado",2
1012,7,"pendiente",7
1013,4,"cancelado",4
1014,1,"pendiente",1
1015,6,"cancelado",6
1016,2,"cancelado",2
1017,7,"pendiente",7
1018,4,"cancelado",4
1019,1,"pendiente",1
1020,6,"cancelado",6
1021,2,"cancelado",2
1022,7,"pendiente",7
1023,4,"cancelado",4
1024,1,"pendiente",1
1025,6,"cancelado",6
1026,2,"cancelado",2
1027,7,"pendiente",7
1028,4,"cancelado",4
1029,1,"pendiente",1
1030,6,"cancelado",6
1031,2,"cancelado",2
1032,7,"pendiente",7
1033,4,"cancelado",4
1034,1,"pendiente",1
1035,6,"cancelado",6
1036,2,"cancelado",2
1037,7,"pendiente",7
1038,4,"cancelado",4
1039,1,"pendiente",1
1040,6,"cancelado",6
1041,2,"cancelado",2
1042,7,"pendiente",7
1043,4,"cancelado",4
1044,1,"pendiente",1
1045,6,"cancelado",6
1046,2,"cancelado",2
1047,7,"pendiente",7
1048,4,"cancelado",4
1049,1,"pendiente",1
1050,6,"cancelado",6
1051,2,"cancelado",2
1052,7,"pendiente",7
1053,4,"cancelado",4
1054,1,"pendiente",1
1055,6,"cancelado",6
1056,2,"cancelado",2
1057,7,"pendiente",7
1058,4,"cancelado",4
1059,1,"pendiente",1
1060,6,"cancelado",6
1061,2,"cancelado",2
1062,7,"pendiente",7
1063,4,"cancelado",4
1064,1,"pendiente",1
1065,6,"cancelado",6
1066,2,"cancelado",2
1067,7,"pendiente",7
1068,4,"cancelado",4
1069,1,"pendiente",1
1070,6,"cancelado",6
1071,2,"cancelado",2
1072,7,"pendiente",7
1073,4,"cancelado",4
1074,1,"pendiente",1
1075,6,"cancelado",6
1076,2,"cancelado",2
1077,7,"pendiente",7
1078,4,"cancelado",4
1079,1,"pendiente",1
1080,6,"cancelado",6
1081,2,"cancelado",2
1082,7,"pendiente",7
1083,4,"cancelado",4
1084,1,"pendiente",1
1085,6,"cancelado",6
1086,2,"cancelado",2
1087,7,"pendiente",7
1088,4,"cancelado",4
1089,1,"pendiente",1
1090,6,"cancelado",6
1091,2,"cancelado",2
1092,7,"pendiente",7
1093,4,"cancelado",4
1094,1,"pendiente",1
1095,6,"cancelado",6
1096,2,"cancelado",2
1097,7,"pendiente",7
1098,4,"cancelado",4
1099,1,"pendiente",1
1100,6,"cancelado",6
1101,2,"cancelado",2
1102,7,"pendiente",7
1103,4,"cancelado",4
1104,1,"pendiente",1
1105,6,"cancelado",6
1106,2,"cancelado",2
1107,7,"pendiente",7
1108,4,"cancelado",4
1109,1,"pendiente",1
1110,6,"cancelado",6
1111,2,"cancelado",2
1112,7,"pendiente",7
1113,4,"cancelado",4
1114,1,"pendiente",1
1115,6,"cancelado",6
1116,2,"cancelado",2
1117,7,"pendiente",7
1118,4,"cancelado",4
1119,1,"pendiente",1
1120,6,"cancelado",6
1121,2,"cancelado",2
1122,7,"pendiente",7
1123,4,"cancelado",4
1124,1,"pendiente",1
1125,6,"cancelado",6
1126,2,"cancelado",2
1127,7,"pendiente",7
1128,4,"cancelado",4
1129,1,"pendiente",1
1130,6,"cancelado",6
1131,2,"cancelado",2
1132,7,"pendiente",7
1133,4,"cancelado",4
1134,1,"pendiente",1
1135,6,"cancelado",6
1136,2,"cancelado",2
1137,7,"pendiente",7
1138,4,"cancelado",4
1139,1,"pendiente",1
1140,6,"cancelado",6
1141,2,"cancelado",2
1142,7,"pendiente",7
1143,4,"cancelado",4
1144,1,"pendiente",1
1145,6,"cancelado",6
1146,2,"cancelado",2
1147,7,"pendiente",7
